Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,05:55:45,---,---,---,---,---,---,
Starboard Door Heel,05:56:12,808,9,---,---,---,---,
Starboard Door Heel,05:56:40,807,9,---,---,---,---,
Starboard Door Heel,05:57:10,---,---,---,---,---,---,
Starboard Door Heel,05:57:37,---,---,---,---,---,---,
Starboard Door Heel,05:58:05,---,---,---,---,---,---,
Starboard Door Heel,05:58:35,---,---,---,---,---,---,
Starboard Door Heel,05:59:04,---,---,---,---,---,---,
Starboard Door Heel,05:59:31,---,---,---,---,---,---,
Starboard Door Heel,06:00:01,---,---,---,---,---,---,
Starboard Door Heel,06:00:28,---,---,---,---,---,---,
Starboard Door Heel,06:00:57,---,---,---,---,---,---,
Starboard Door Heel,06:01:23,807,7,---,---,---,---,
Starboard Door Heel,06:01:50,808,2,---,---,---,---,
Starboard Door Heel,06:02:15,808,6,---,---,---,---,
Starboard Door Heel,06:02:43,---,---,---,---,---,---,
Starboard Door Heel,06:03:09,---,---,---,---,---,---,
Starboard Door Heel,06:03:36,---,---,---,---,---,---,
Starboard Door Heel,06:04:05,---,---,---,---,---,---,
Starboard Door Heel,06:04:35,---,---,---,---,---,---,
Starboard Door Heel,06:05:03,---,---,---,---,---,---,
Starboard Door Heel,06:05:32,---,---,---,---,---,---,
Starboard Door Heel,06:06:02,---,---,---,---,---,---,
Starboard Door Heel,06:06:29,---,---,---,---,---,---,
Starboard Door Heel,06:06:53,810,4,---,---,---,---,
Starboard Door Heel,06:07:22,---,---,---,---,---,---,
Starboard Door Heel,06:07:46,807,9,---,---,---,---,
Starboard Door Heel,06:08:14,809,6,---,---,---,---,
Starboard Door Heel,06:08:42,807,8,---,---,---,---,
Starboard Door Heel,06:09:11,---,---,---,---,---,---,
Starboard Door Heel,06:09:34,808,1,---,---,---,---,
Starboard Door Heel,06:10:04,---,---,---,---,---,---,
Starboard Door Heel,06:10:32,---,---,---,---,---,---,
Starboard Door Heel,06:10:57,808,5,---,---,---,---,
Starboard Door Heel,06:11:27,---,---,---,---,---,---,
Starboard Door Heel,06:11:55,---,---,---,---,---,---,
Starboard Door Heel,06:12:24,---,---,---,---,---,---,
Starboard Door Heel,06:12:51,---,---,---,---,---,---,
Starboard Door Heel,06:13:18,---,---,---,---,---,---,
Starboard Door Heel,06:13:48,---,---,---,---,---,---,
Starboard Door Heel,06:14:17,---,---,---,---,---,---,
Starboard Door Heel,06:14:47,---,---,---,---,---,---,
Starboard Door Heel,06:15:12,808,2,---,---,---,---,
Starboard Door Heel,06:15:38,---,---,---,---,---,---,
Starboard Door Heel,06:16:03,808,4,---,---,---,---,
Starboard Door Heel,06:16:32,---,---,---,---,---,---,
Starboard Door Heel,06:16:59,809,8,---,---,---,---,
Starboard Door Heel,06:17:24,807,4,---,---,---,---,
Starboard Door Heel,06:17:51,808,2,---,---,---,---,
Starboard Door Heel,06:18:20,---,---,---,---,---,---,
Starboard Door Heel,06:18:49,---,---,---,---,---,---,
Starboard Door Heel,06:19:17,---,---,---,---,---,---,
Starboard Door Heel,06:19:44,---,---,---,---,---,---,
Starboard Door Heel,06:20:12,---,---,---,---,---,---,
Starboard Door Heel,06:20:38,---,---,---,---,---,---,
Starboard Door Heel,06:21:03,809,3,---,---,---,---,
Starboard Door Heel,06:21:31,---,---,---,---,---,---,
Starboard Door Heel,06:21:58,---,---,---,---,---,---,
Starboard Door Heel,06:22:25,807,6,---,---,---,---,
Starboard Door Heel,06:22:51,---,---,---,---,---,---,
Starboard Door Heel,06:23:18,---,---,---,---,---,---,
Starboard Door Heel,06:23:47,---,---,---,---,---,---,
Starboard Door Heel,06:24:11,808,1,---,---,---,---,
Starboard Door Heel,06:24:39,808,9,---,---,---,---,
Starboard Door Heel,06:25:08,---,---,---,---,---,---,
Starboard Door Heel,06:25:31,808,6,---,---,---,---,
Starboard Door Heel,06:25:59,809,0,---,---,---,---,
Starboard Door Heel,06:26:27,---,---,---,---,---,---,
Starboard Door Heel,06:26:56,---,---,---,---,---,---,
Starboard Door Heel,06:27:24,---,---,---,---,---,---,
Starboard Door Heel,06:27:54,---,---,---,---,---,---,
Starboard Door Heel,06:28:23,---,---,---,---,---,---,
Starboard Door Heel,06:28:50,---,---,---,---,---,---,
Starboard Door Heel,06:29:15,---,---,---,---,---,---,
Starboard Door Heel,06:29:43,---,---,---,---,---,---,
Starboard Door Heel,06:30:08,833,1,---,---,---,---,
Starboard Door Heel,06:30:37,---,---,---,---,---,---,
Starboard Door Heel,06:31:04,---,---,---,---,---,---,
Starboard Door Heel,06:31:34,---,---,---,---,---,---,
Starboard Door Heel,06:31:58,834,0,---,---,---,---,
Starboard Door Heel,06:32:27,---,---,---,---,---,---,
Starboard Door Heel,06:32:55,---,---,---,---,---,---,
Starboard Door Heel,06:33:23,---,---,---,---,---,---,
Starboard Door Heel,06:33:52,---,---,---,---,---,---,
Starboard Door Heel,06:34:18,833,4,---,---,---,---,
Starboard Door Heel,06:34:46,833,4,---,---,---,---,
Starboard Door Heel,06:35:14,834,6,---,---,---,---,
Starboard Door Heel,06:35:40,---,---,---,---,---,---,
Starboard Door Heel,06:36:05,833,8,---,---,---,---,
Starboard Door Heel,06:36:33,833,3,---,---,---,---,
Starboard Door Heel,06:37:02,---,---,---,---,---,---,
Starboard Door Heel,06:37:32,---,---,---,---,---,---,
Starboard Door Heel,06:37:58,---,---,---,---,---,---,
Starboard Door Heel,06:38:23,834,7,---,---,---,---,
Starboard Door Heel,06:38:50,833,8,---,---,---,---,
Starboard Door Heel,06:39:17,---,---,---,---,---,---,
Starboard Door Heel,06:39:41,834,0,---,---,---,---,
Starboard Door Heel,06:40:06,833,2,---,---,---,---,
Starboard Door Heel,06:40:35,---,---,---,---,---,---,
Starboard Door Heel,06:40:59,834,6,---,---,---,---,
Starboard Door Heel,06:41:26,833,8,---,---,---,---,
Starboard Door Heel,06:41:55,---,---,---,---,---,---,
