Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,07:42:15,803,8,10,1,---,---,
Estribor,07:42:54,804,0,12,1,---,---,
Estribor,07:43:17,805,4,12,0,---,---,
Estribor,07:43:40,804,8,12,7,---,---,
Estribor,07:44:03,803,9,21,3,---,---,
Estribor,07:44:26,803,8,25,6,---,---,
Estribor,07:44:50,804,8,---,---,---,---,
Estribor,07:45:12,804,5,29,6,---,---,
Estribor,07:45:40,---,---,---,---,---,---,
Estribor,07:46:03,803,6,33,3,---,---,
Estribor,07:46:25,804,3,34,9,---,---,
Estribor,07:46:53,---,---,---,---,---,---,
Estribor,07:47:13,806,1,---,---,---,---,
Estribor,07:47:38,804,2,35,2,---,---,
Estribor,07:48:02,804,4,---,---,---,---,
Estribor,07:48:22,804,5,35,7,---,---,
Estribor,07:48:47,805,9,---,---,---,---,
Estribor,07:49:16,---,---,---,---,---,---,
Estribor,07:49:41,804,8,---,---,---,---,
Estribor,07:50:06,---,---,---,---,---,---,
Estribor,07:50:31,803,9,34,9,---,---,
Estribor,07:50:59,---,---,---,---,---,---,
Estribor,07:51:24,807,0,---,---,---,---,
Estribor,07:51:48,806,9,---,---,---,---,
Estribor,07:52:12,---,---,---,---,---,---,
Estribor,07:52:35,804,6,---,---,---,---,
Estribor,07:52:59,804,4,35,2,---,---,
Estribor,07:53:23,804,7,33,7,---,---,
Estribor,07:53:45,804,5,35,0,---,---,
Estribor,07:54:09,804,4,35,1,---,---,
Estribor,07:54:33,804,5,---,---,---,---,
Estribor,07:54:58,---,---,---,---,---,---,
Estribor,07:55:19,804,4,34,0,---,---,
Estribor,07:55:43,806,9,32,6,---,---,
Estribor,07:56:07,804,5,---,---,---,---,
Estribor,07:56:28,804,7,34,9,---,---,
Estribor,07:56:53,804,9,---,---,---,---,
Estribor,07:57:14,804,6,---,---,---,---,
Estribor,07:57:38,804,6,---,---,---,---,
Estribor,07:58:04,---,---,---,---,---,---,
Estribor,07:58:27,---,---,---,---,---,---,
Estribor,07:58:51,804,2,---,---,---,---,
Estribor,07:59:12,804,5,32,3,---,---,
Estribor,07:59:35,804,2,32,3,---,---,
Estribor,07:59:57,804,7,31,9,---,---,
Estribor,08:00:23,804,1,---,---,---,---,
Estribor,08:00:45,804,9,32,4,---,---,
Estribor,08:01:08,804,3,31,6,---,---,
Estribor,08:01:30,804,5,32,0,---,---,
Estribor,08:01:55,804,1,---,---,---,---,
Estribor,08:02:18,804,5,31,7,---,---,
Estribor,08:02:43,804,5,---,---,---,---,
Estribor,08:03:05,804,8,---,---,---,---,
Estribor,08:03:27,804,7,32,2,---,---,
Estribor,08:03:49,804,5,31,3,---,---,
Estribor,08:04:13,804,8,---,---,---,---,
Estribor,08:04:36,804,6,---,---,---,---,
Estribor,08:04:58,804,4,31,2,---,---,
Estribor,08:05:22,804,4,30,9,---,---,
Estribor,08:05:45,804,6,31,0,---,---,
Estribor,08:06:09,804,4,31,3,---,---,
Estribor,08:06:32,804,5,30,5,---,---,
Estribor,08:06:56,804,7,30,0,---,---,
Estribor,08:07:19,804,9,30,0,---,---,
Estribor,08:07:45,804,4,29,7,---,---,
Estribor,08:08:07,804,6,31,9,---,---,
Estribor,08:08:31,804,4,---,---,---,---,
Estribor,08:08:53,804,8,29,2,---,---,
Estribor,08:09:16,804,2,29,4,---,---,
Estribor,08:09:39,804,5,30,0,---,---,
Estribor,08:10:04,804,1,---,---,---,---,
Estribor,08:10:26,804,0,32,1,---,---,
Estribor,08:10:49,804,1,30,0,---,---,
Estribor,08:11:30,804,6,---,---,---,---,
Estribor,08:11:52,804,7,30,2,---,---,
Estribor,08:12:14,804,4,29,9,---,---,
Estribor,08:12:39,804,2,---,---,---,---,
Estribor,08:13:01,804,8,29,1,---,---,
Estribor,08:13:24,804,5,30,4,---,---,
Estribor,08:13:49,804,0,---,---,---,---,
Estribor,08:14:11,804,5,29,8,---,---,
Estribor,08:14:34,804,5,29,4,---,---,
Estribor,08:14:57,805,0,30,0,---,---,
Estribor,08:15:21,804,4,30,0,---,---,
Estribor,08:15:44,804,2,30,2,---,---,
