Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,06:09:40,923,8,---,---,---,---,
Capturas 1,06:10:07,---,---,---,---,---,---,
Capturas 1,06:10:29,929,3,Off,---,---,---,
Capturas 1,06:10:51,932,7,Off,---,---,---,
Capturas 1,06:11:17,935,2,Off,---,---,---,
Capturas 1,06:11:39,936,9,Off,---,---,---,
Capturas 1,06:12:02,939,4,Off,---,---,---,
Capturas 1,06:12:25,939,7,Off,---,---,---,
Capturas 1,06:12:49,941,0,---,---,---,---,
Capturas 1,06:13:13,940,9,Off,---,---,---,
Capturas 1,06:13:36,941,6,Off,---,---,---,
Capturas 1,06:14:03,---,---,---,---,---,---,
Capturas 1,06:14:25,941,3,---,---,---,---,
Capturas 1,06:14:47,942,6,Off,---,---,---,
Capturas 1,06:15:10,940,9,Off,---,---,---,
Capturas 1,06:15:33,---,---,---,---,---,---,
Capturas 1,06:15:55,941,1,Off,---,---,---,
Capturas 1,06:16:20,942,9,Off,---,---,---,
Capturas 1,06:16:44,940,6,Off,---,---,---,
Capturas 1,06:17:08,942,5,Off,---,---,---,
Capturas 1,06:17:33,941,6,---,---,---,---,
Capturas 1,06:17:59,---,---,---,---,---,---,
Capturas 1,06:18:22,942,6,Off,---,---,---,
Capturas 1,06:18:46,945,2,---,---,---,---,
Capturas 1,06:19:11,942,6,Off,---,---,---,
Capturas 1,06:19:35,941,8,Off,---,---,---,
Capturas 1,06:19:59,943,4,---,---,---,---,
Capturas 1,06:20:20,943,2,Off,---,---,---,
Capturas 1,06:20:46,---,---,---,---,---,---,
Capturas 1,06:21:10,---,---,---,---,---,---,
Capturas 1,06:21:32,942,0,Off,---,---,---,
Capturas 1,06:21:59,---,---,---,---,---,---,
Capturas 1,06:22:19,940,5,Off,---,---,---,
Capturas 1,06:22:46,---,---,---,---,---,---,
Capturas 1,06:23:09,941,3,---,---,---,---,
Capturas 1,06:23:35,---,---,---,---,---,---,
Capturas 1,06:24:00,---,---,---,---,---,---,
Capturas 1,06:24:23,940,3,---,---,---,---,
Capturas 1,06:24:44,941,8,---,---,---,---,
Capturas 1,06:25:08,---,---,---,---,---,---,
Capturas 1,06:25:32,---,---,---,---,---,---,
Capturas 1,06:25:55,---,---,---,---,---,---,
Capturas 1,06:26:23,---,---,---,---,---,---,
Capturas 1,06:26:47,949,9,---,---,---,---,
Capturas 1,06:27:10,960,2,---,---,---,---,
Capturas 1,06:27:32,968,5,Off,---,---,---,
Capturas 1,06:27:58,976,7,Off,---,---,---,
Capturas 1,06:28:26,---,---,---,---,---,---,
Capturas 1,06:28:50,---,---,---,---,---,---,
Capturas 1,06:29:15,---,---,---,---,---,---,
Capturas 1,06:29:38,---,---,---,---,---,---,
Capturas 1,06:30:02,---,---,---,---,---,---,
Capturas 1,06:30:28,1014,6,Off,---,---,---,
Capturas 1,06:30:55,---,---,---,---,---,---,
Capturas 1,06:31:21,---,---,---,---,---,---,
Capturas 1,06:31:46,---,---,---,---,---,---,
Capturas 1,06:32:06,1012,3,Off,---,---,---,
Capturas 1,06:32:36,---,---,---,---,---,---,
Capturas 1,06:33:01,---,---,---,---,---,---,
Capturas 1,06:33:28,---,---,---,---,---,---,
Capturas 1,06:33:48,1013,8,Off,---,---,---,
Capturas 1,06:34:18,---,---,---,---,---,---,
Capturas 1,06:34:44,---,---,---,---,---,---,
Capturas 1,06:35:09,1011,8,---,---,---,---,
Capturas 1,06:35:35,---,---,---,---,---,---,
Capturas 1,06:36:00,1011,0,---,---,---,---,
Capturas 1,06:36:25,---,---,---,---,---,---,
Capturas 1,06:36:50,---,---,---,---,---,---,
Capturas 1,06:37:16,---,---,---,---,---,---,
Capturas 1,06:37:44,---,---,---,---,---,---,
Capturas 1,06:38:08,1015,2,---,---,---,---,
Capturas 1,06:38:34,1025,3,Off,---,---,---,
Capturas 1,06:39:00,1029,5,---,---,---,---,
Capturas 1,06:39:25,---,---,---,---,---,---,
Capturas 1,06:39:52,---,---,---,---,---,---,
Capturas 1,06:40:15,1069,1,---,---,---,---,
Capturas 1,06:40:42,---,---,---,---,---,---,
Capturas 1,06:41:04,1084,0,---,---,---,---,
Capturas 1,06:41:33,---,---,---,---,---,---,
Capturas 1,06:42:01,---,---,---,---,---,---,
Capturas 1,06:42:27,---,---,---,---,---,---,
Capturas 1,06:42:52,---,---,---,---,---,---,
Capturas 1,06:43:19,---,---,---,---,---,---,
Capturas 1,06:43:40,1083,5,Off,---,---,---,
Capturas 1,06:44:07,---,---,---,---,---,---,
Capturas 1,06:44:33,1086,4,---,---,---,---,
Capturas 1,06:45:00,---,---,---,---,---,---,
Capturas 1,06:45:28,---,---,---,---,---,---,
Capturas 1,06:45:52,1091,9,---,---,---,---,
Capturas 1,06:46:13,1088,0,Off,---,---,---,
Capturas 1,06:46:39,1087,7,---,---,---,---,
Capturas 1,06:47:03,---,---,---,---,---,---,
Capturas 1,06:47:30,---,---,---,---,---,---,
Capturas 1,06:47:53,---,---,---,---,---,---,
Capturas 1,06:48:19,---,---,---,---,---,---,
