Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,02:29:16,---,---,---,---,---,---,
Estribor,02:29:37,95,4,---,---,---,---,
Estribor,02:30:03,---,---,---,---,---,---,
Estribor,02:30:28,218,4,9,9,---,---,
Estribor,02:30:53,---,16,8,---,---,---,
Estribor,02:31:18,351,9,26,1,---,---,
Estribor,02:31:43,---,31,7,---,---,---,
Estribor,02:32:12,---,---,---,---,---,---,
Estribor,02:32:35,599,6,54,5,---,---,
Estribor,02:33:00,---,65,3,---,---,---,
Estribor,02:33:26,769,2,79,4,---,---,
Estribor,02:33:54,---,---,---,---,---,---,
Estribor,02:34:17,---,105,0,---,---,---,
Estribor,02:34:44,1049,1,---,---,---,---,
Estribor,02:35:10,---,---,---,---,---,---,
Estribor,02:35:34,1108,9,121,0,---,---,
Estribor,02:35:59,---,125,6,---,---,---,
Estribor,02:36:24,1109,5,132,7,---,---,
Estribor,02:36:49,1109,4,139,8,---,---,
Estribor,02:37:12,1109,9,144,4,---,---,
Estribor,02:37:37,1109,4,151,6,---,---,
Estribor,02:38:03,1109,5,158,5,---,---,
Estribor,02:38:26,1109,4,164,4,---,---,
Estribor,02:38:51,1109,4,170,5,---,---,
Estribor,02:39:15,1109,2,175,9,---,---,
Estribor,02:39:39,1109,3,182,8,---,---,
Estribor,02:40:02,1109,0,187,0,---,---,
Estribor,02:40:25,1109,1,190,3,---,---,
Estribor,02:40:48,1109,1,194,8,---,---,
Estribor,02:41:11,1108,9,201,2,---,---,
Estribor,02:41:34,1108,9,202,0,---,---,
Estribor,02:41:56,1109,0,206,7,---,---,
Estribor,02:42:19,1109,1,210,4,---,---,
Estribor,02:42:42,1108,9,214,9,---,---,
Estribor,02:43:05,1109,3,220,2,---,---,
Estribor,02:43:27,1108,6,222,0,---,---,
Estribor,02:43:50,1108,5,225,7,---,---,
Estribor,02:44:13,1108,5,229,1,---,---,
Estribor,02:44:37,1108,3,231,7,---,---,
Estribor,02:45:00,1108,4,235,0,---,---,
Estribor,02:45:23,1108,4,238,6,---,---,
Estribor,02:45:46,1108,3,240,8,---,---,
Estribor,02:46:09,1108,1,242,1,---,---,
Estribor,02:46:33,1108,2,244,3,---,---,
Estribor,02:46:57,1108,3,244,4,---,---,
Estribor,02:47:21,1107,9,245,6,---,---,
Estribor,02:47:44,1107,8,247,0,---,---,
Estribor,02:48:08,1107,8,247,9,---,---,
Estribor,02:48:32,1107,6,248,2,---,---,
Estribor,02:48:55,1107,6,247,9,---,---,
Estribor,02:49:19,1107,5,249,1,---,---,
Estribor,02:49:43,1107,4,249,9,---,---,
Estribor,02:50:06,1107,2,250,2,---,---,
Estribor,02:50:30,1107,5,251,2,---,---,
Estribor,02:50:54,1107,2,252,6,---,---,
Estribor,02:51:18,1107,2,252,5,---,---,
Estribor,02:51:41,1107,5,253,7,---,---,
Estribor,02:52:05,1107,3,255,1,---,---,
Estribor,02:52:29,1107,2,256,2,---,---,
Estribor,02:52:53,1107,8,257,5,---,---,
Estribor,02:53:16,1107,5,257,1,---,---,
Estribor,02:53:40,1107,3,258,6,---,---,
Estribor,02:54:04,1107,5,258,5,---,---,
Estribor,02:54:27,1107,4,259,7,---,---,
Estribor,02:54:51,1107,4,262,0,---,---,
Estribor,02:55:15,1107,5,261,8,---,---,
Estribor,02:55:39,1107,2,263,3,---,---,
Estribor,02:56:02,1107,9,263,8,---,---,
Estribor,02:56:26,1107,7,264,5,---,---,
Estribor,02:56:49,1107,2,264,6,---,---,
Estribor,02:57:13,1107,1,265,6,---,---,
Estribor,02:57:37,1107,2,265,4,---,---,
Estribor,02:58:00,1107,0,266,6,---,---,
Estribor,02:58:24,1106,9,266,6,---,---,
Estribor,02:58:47,1107,0,268,4,---,---,
Estribor,02:59:11,1106,9,269,3,---,---,
Estribor,02:59:34,1107,0,269,2,---,---,
Estribor,02:59:58,1106,8,271,7,---,---,
Estribor,03:00:21,1106,9,271,5,---,---,
Estribor,03:00:45,1106,9,272,6,---,---,
Estribor,03:01:08,1106,8,273,3,---,---,
Estribor,03:01:32,1107,0,275,2,---,---,
Estribor,03:01:56,1106,7,276,3,---,---,
Estribor,03:02:19,1106,9,276,1,---,---,
Estribor,03:02:43,1107,0,277,3,---,---,
Estribor,03:03:06,1106,4,280,0,---,---,
Estribor,03:03:30,1107,1,279,2,---,---,
Estribor,03:03:54,1106,6,282,1,---,---,
Estribor,03:04:17,1106,4,283,3,---,---,
Estribor,03:04:41,1107,1,284,4,---,---,
Estribor,03:05:04,1106,6,285,4,---,---,
Estribor,03:05:28,1106,4,285,5,---,---,
Estribor,03:05:51,1106,3,286,8,---,---,
Estribor,03:06:15,1106,5,289,0,---,---,
Estribor,03:06:39,1106,2,290,6,---,---,
Estribor,03:07:02,1106,1,291,7,---,---,
Estribor,03:07:26,1106,2,292,5,---,---,
Estribor,03:07:49,1106,0,295,5,---,---,
Estribor,03:08:13,1106,2,294,9,---,---,
Estribor,03:08:37,1106,3,294,9,---,---,
Estribor,03:09:00,1106,3,295,0,---,---,
Estribor,03:09:24,1106,2,296,0,---,---,
Estribor,03:09:47,1106,2,296,0,---,---,
Estribor,03:10:11,1106,1,297,4,---,---,
Estribor,03:10:35,1106,3,299,1,---,---,
Estribor,03:10:58,1106,3,299,5,---,---,
Estribor,03:11:22,1106,3,298,6,---,---,
Estribor,03:11:45,1106,3,299,6,---,---,
Estribor,03:12:09,1106,1,303,0,---,---,
Estribor,03:12:33,1106,0,301,0,---,---,
Estribor,03:12:56,1106,1,299,7,---,---,
Estribor,03:13:20,1106,4,303,0,---,---,
Estribor,03:13:44,1106,3,300,7,---,---,
Estribor,03:14:07,1106,2,301,0,---,---,
Estribor,03:14:31,1106,4,302,1,---,---,
Estribor,03:14:54,---,---,---,---,---,---,
Estribor,03:15:18,1151,4,302,7,---,---,
Estribor,03:15:41,1154,1,304,3,---,---,
Estribor,03:16:05,1157,2,306,3,---,---,
Estribor,03:16:28,1158,8,304,3,---,---,
Estribor,03:16:53,1158,8,306,4,---,---,
Estribor,03:17:16,1162,4,304,4,---,---,
Estribor,03:17:40,1162,2,304,3,---,---,
Estribor,03:18:03,1162,2,305,4,---,---,
Estribor,03:18:27,1162,2,305,5,---,---,
Estribor,03:18:50,1162,3,305,5,---,---,
Estribor,03:19:14,1162,2,306,2,---,---,
Estribor,03:19:38,1162,4,305,9,---,---,
Estribor,03:20:01,1162,5,305,4,---,---,
Estribor,03:20:25,1162,3,305,8,---,---,
Estribor,03:20:50,1162,5,306,6,---,---,
Estribor,03:21:13,1162,5,307,0,---,---,
Estribor,03:21:38,1162,3,306,7,---,---,
Estribor,03:22:03,1162,2,306,8,---,---,
Estribor,03:22:28,1162,2,306,7,---,---,
Estribor,03:22:55,1162,2,306,8,---,---,
Estribor,03:23:18,1162,5,306,8,---,---,
Estribor,03:23:45,1162,1,306,7,---,---,
Estribor,03:24:11,1162,1,306,6,---,---,
Estribor,03:24:35,1162,1,306,7,---,---,
Estribor,03:24:59,1162,3,306,8,---,---,
Estribor,03:25:22,1162,3,306,7,---,---,
Estribor,03:25:46,1162,5,306,7,---,---,
Estribor,03:26:09,1162,2,307,9,---,---,
Estribor,03:26:34,1162,2,307,8,---,---,
Estribor,03:26:58,1162,3,307,8,---,---,
Estribor,03:27:21,1162,3,308,0,---,---,
Estribor,03:27:44,1162,3,309,1,---,---,
Estribor,03:28:08,1162,1,308,6,---,---,
Estribor,03:28:31,1162,5,309,2,---,---,
Estribor,03:28:55,1162,4,307,9,---,---,
Estribor,03:29:18,1162,4,307,8,---,---,
Estribor,03:29:41,1162,3,307,9,---,---,
Estribor,03:30:04,1162,4,306,7,---,---,
Estribor,03:30:28,1162,1,308,0,---,---,
Estribor,03:30:52,1162,2,307,9,---,---,
Estribor,03:31:15,1162,6,309,1,---,---,
Estribor,03:31:40,1162,4,309,1,---,---,
Estribor,03:32:04,1162,2,308,8,---,---,
Estribor,03:32:29,1162,2,309,1,---,---,
Estribor,03:32:52,1162,6,310,3,---,---,
Estribor,03:33:17,---,---,---,---,---,---,
Estribor,03:33:46,---,---,---,---,---,---,
Estribor,03:34:11,991,2,---,---,---,---,
Estribor,03:34:35,---,---,---,---,---,---,
Estribor,03:35:02,---,---,---,---,---,---,
Estribor,03:35:25,---,---,---,---,---,---,
Estribor,03:35:44,---,309,4,---,---,---,
Estribor,03:36:08,630,9,310,8,---,---,
Estribor,03:36:30,615,2,309,9,---,---,
Estribor,03:36:53,---,311,5,---,---,---,
Estribor,03:37:20,654,2,---,---,---,---,
Estribor,03:37:42,---,313,4,---,---,---,
Estribor,03:38:12,---,---,---,---,---,---,
Estribor,03:38:36,784,3,313,9,---,---,
Estribor,03:39:06,---,---,---,---,---,---,
Estribor,03:39:29,870,7,311,5,---,---,
Estribor,03:39:54,912,5,303,0,---,---,
Estribor,03:40:20,945,1,297,4,---,---,
Estribor,03:40:45,971,5,289,2,---,---,
Estribor,03:41:08,991,5,280,9,---,---,
Estribor,03:41:34,1010,0,---,---,---,---,
Estribor,03:41:55,1020,6,266,0,---,---,
Estribor,03:42:20,1030,5,259,9,---,---,
Estribor,03:42:44,1037,9,255,1,---,---,
Estribor,03:43:07,1044,3,251,4,---,---,
Estribor,03:43:30,1049,6,248,0,---,---,
Estribor,03:43:53,1054,0,247,2,---,---,
Estribor,03:44:18,1058,7,245,6,---,---,
Estribor,03:44:43,1062,6,244,4,---,---,
Estribor,03:45:08,1065,5,244,6,---,---,
Estribor,03:45:31,1067,8,245,5,---,---,
Estribor,03:45:56,1080,9,251,7,---,---,
Estribor,03:46:20,1092,8,256,6,---,---,
Estribor,03:46:45,1094,2,258,4,---,---,
Estribor,03:47:08,1101,1,264,5,---,---,
Estribor,03:47:32,1110,0,269,4,---,---,
Estribor,03:47:56,1118,8,273,5,---,---,
Estribor,03:48:19,1118,8,276,1,---,---,
Estribor,03:48:43,1124,1,283,7,---,---,
Estribor,03:49:07,1134,4,290,4,---,---,
Estribor,03:49:30,1136,5,291,6,---,---,
Estribor,03:49:53,1136,8,295,0,---,---,
Estribor,03:50:17,1141,6,300,5,---,---,
Estribor,03:50:41,1141,3,301,6,---,---,
Estribor,03:51:04,1141,7,304,3,---,---,
Estribor,03:51:28,1141,3,305,8,---,---,
Estribor,03:51:51,1141,2,308,0,---,---,
Estribor,03:52:15,1141,4,310,4,---,---,
Estribor,03:52:38,1141,9,311,4,---,---,
Estribor,03:53:01,1147,6,314,7,---,---,
Estribor,03:53:26,1151,2,313,5,---,---,
Estribor,03:53:50,1151,4,312,4,---,---,
Estribor,03:54:13,1152,5,312,7,---,---,
Estribor,03:54:36,1160,4,312,8,---,---,
Estribor,03:55:00,1160,4,310,3,---,---,
Estribor,03:55:23,1161,2,310,3,---,---,
Estribor,03:55:47,1160,7,309,1,---,---,
Estribor,03:56:10,1160,9,307,8,---,---,
Estribor,03:56:34,1160,8,307,6,---,---,
Estribor,03:56:57,1161,2,307,8,---,---,
Estribor,03:57:21,1161,2,307,3,---,---,
Estribor,03:57:45,1161,6,307,0,---,---,
Estribor,03:58:08,1161,6,305,2,---,---,
Estribor,03:58:32,1161,5,306,4,---,---,
Estribor,03:58:55,1161,1,304,6,---,---,
Estribor,03:59:19,1161,4,304,4,---,---,
Estribor,03:59:42,1161,2,304,5,---,---,
Estribor,04:00:06,1160,9,303,5,---,---,
Estribor,04:00:29,1161,2,303,1,---,---,
Estribor,04:00:53,1160,9,303,3,---,---,
Estribor,04:01:16,1161,6,302,8,---,---,
Estribor,04:01:40,1161,6,300,3,---,---,
Estribor,04:02:03,1161,3,301,4,---,---,
Estribor,04:02:27,1161,6,301,1,---,---,
Estribor,04:02:50,1161,5,299,9,---,---,
Estribor,04:03:14,1161,8,298,1,---,---,
Estribor,04:03:38,1161,9,297,1,---,---,
Estribor,04:04:01,1161,8,297,3,---,---,
Estribor,04:04:25,1161,7,296,3,---,---,
Estribor,04:04:48,1161,9,295,0,---,---,
Estribor,04:05:12,1161,9,295,1,---,---,
Estribor,04:05:35,1162,2,292,8,---,---,
Estribor,04:05:59,1162,2,292,7,---,---,
Estribor,04:06:23,1162,7,291,4,---,---,
Estribor,04:06:46,1162,1,288,0,---,---,
Estribor,04:07:10,1162,6,286,6,---,---,
Estribor,04:07:33,1162,2,285,6,---,---,
Estribor,04:07:57,1162,3,282,9,---,---,
Estribor,04:08:21,1162,4,282,9,---,---,
Estribor,04:08:44,1162,3,280,9,---,---,
Estribor,04:09:08,1162,2,280,7,---,---,
Estribor,04:09:32,1162,0,280,7,---,---,
Estribor,04:09:55,1162,1,278,5,---,---,
Estribor,04:10:19,1162,2,277,3,---,---,
Estribor,04:10:43,1163,1,275,0,---,---,
Estribor,04:11:06,1162,4,274,8,---,---,
Estribor,04:11:30,1162,3,275,2,---,---,
Estribor,04:11:54,1162,5,274,0,---,---,
Estribor,04:12:19,1162,5,272,5,---,---,
Estribor,04:12:44,1162,5,272,5,---,---,
Estribor,04:13:08,1162,6,271,5,---,---,
Estribor,04:13:31,1162,3,271,7,---,---,
Estribor,04:13:55,1162,5,269,0,---,---,
Estribor,04:14:19,1162,3,268,4,---,---,
Estribor,04:14:42,1162,5,266,7,---,---,
Estribor,04:15:06,1162,1,267,2,---,---,
Estribor,04:15:30,1162,2,265,7,---,---,
Estribor,04:15:55,1162,6,264,4,---,---,
Estribor,04:16:18,1163,1,264,0,---,---,
Estribor,04:16:42,1163,2,263,0,---,---,
Estribor,04:17:06,1163,2,263,2,---,---,
Estribor,04:17:29,1162,8,262,5,---,---,
Estribor,04:17:53,1163,3,262,1,---,---,
Estribor,04:18:17,1163,8,261,8,---,---,
Estribor,04:18:40,1163,6,259,6,---,---,
Estribor,04:19:04,1163,6,258,6,---,---,
Estribor,04:19:28,1163,3,256,6,---,---,
Estribor,04:19:51,1163,7,255,3,---,---,
Estribor,04:20:15,1163,6,253,6,---,---,
Estribor,04:20:38,1163,8,252,1,---,---,
Estribor,04:21:02,1164,2,252,2,---,---,
Estribor,04:21:26,1163,7,251,4,---,---,
Estribor,04:21:49,1163,7,250,4,---,---,
Estribor,04:22:13,1163,9,250,2,---,---,
Estribor,04:22:37,1163,9,249,0,---,---,
Estribor,04:23:00,1163,9,249,0,---,---,
Estribor,04:23:24,1163,9,248,2,---,---,
Estribor,04:23:48,1164,0,247,8,---,---,
Estribor,04:24:11,1166,0,247,7,---,---,
Estribor,04:24:41,---,---,---,---,---,---,
Estribor,04:25:08,---,---,---,---,---,---,
Estribor,04:25:37,---,---,---,---,---,---,
Estribor,04:26:00,---,---,---,---,---,---,
Estribor,04:26:21,706,0,---,---,---,---,
Estribor,04:26:43,---,---,---,---,---,---,
Estribor,04:27:06,556,9,---,---,---,---,
Estribor,04:27:28,526,1,---,---,---,---,
Estribor,04:27:51,---,246,2,---,---,---,
Estribor,04:28:15,552,6,247,7,---,---,
Estribor,04:28:39,---,251,5,---,---,---,
Estribor,04:29:01,679,4,247,4,---,---,
Estribor,04:29:26,---,244,4,---,---,---,
Estribor,04:29:47,791,2,245,3,---,---,
Estribor,04:30:11,---,245,0,---,---,---,
Estribor,04:30:36,910,0,---,---,---,---,
Estribor,04:30:57,---,227,1,---,---,---,
Estribor,04:31:22,988,1,---,---,---,---,
Estribor,04:31:44,1008,6,204,6,---,---,
Estribor,04:32:08,1024,2,198,4,---,---,
Estribor,04:32:31,1034,3,191,6,---,---,
Estribor,04:32:55,1041,9,187,3,---,---,
Estribor,04:33:19,1046,6,187,9,---,---,
Estribor,04:33:43,1051,2,187,8,---,---,
Estribor,04:34:09,1055,1,188,0,---,---,
Estribor,04:34:34,1058,4,189,3,---,---,
Estribor,04:35:01,1061,4,190,6,---,---,
Estribor,04:35:26,1064,0,192,6,---,---,
Estribor,04:35:49,1065,5,197,6,---,---,
Estribor,04:36:13,1075,6,202,8,---,---,
Estribor,04:36:36,1089,1,211,3,---,---,
Estribor,04:37:01,1090,9,212,8,---,---,
Estribor,04:37:25,1104,5,222,2,---,---,
Estribor,04:37:48,1105,3,223,4,---,---,
Estribor,04:38:12,1113,7,230,8,---,---,
Estribor,04:38:36,1124,3,239,0,---,---,
Estribor,04:38:59,1129,2,240,6,---,---,
Estribor,04:39:23,1134,9,245,6,---,---,
Estribor,04:39:46,1139,0,250,1,---,---,
Estribor,04:40:09,1139,2,252,5,---,---,
Estribor,04:40:33,1140,0,252,8,---,---,
Estribor,04:40:56,1147,6,258,7,---,---,
Estribor,04:41:20,1149,1,259,7,---,---,
Estribor,04:41:44,1149,2,261,2,---,---,
Estribor,04:42:08,1149,5,262,0,---,---,
Estribor,04:42:31,1156,9,263,4,---,---,
Estribor,04:42:55,1161,0,264,4,---,---,
Estribor,04:43:19,1161,2,265,6,---,---,
Estribor,04:43:42,1161,6,266,7,---,---,
Estribor,04:44:06,1161,6,267,8,---,---,
Estribor,04:44:29,1161,7,270,2,---,---,
Estribor,04:44:53,1162,0,271,2,---,---,
Estribor,04:45:17,1161,9,271,5,---,---,
Estribor,04:45:40,1162,3,272,7,---,---,
Estribor,04:46:04,1161,9,274,6,---,---,
Estribor,04:46:28,1162,2,276,0,---,---,
Estribor,04:46:51,1162,5,276,3,---,---,
Estribor,04:47:15,1162,1,277,4,---,---,
Estribor,04:47:38,1162,6,279,8,---,---,
Estribor,04:48:03,1162,2,280,7,---,---,
Estribor,04:48:27,1162,3,282,1,---,---,
Estribor,04:48:51,1162,4,282,9,---,---,
Estribor,04:49:14,1162,2,285,7,---,---,
Estribor,04:49:38,1162,2,286,7,---,---,
Estribor,04:50:01,1162,2,287,8,---,---,
Estribor,04:50:25,1162,3,288,9,---,---,
Estribor,04:50:48,1162,1,290,5,---,---,
Estribor,04:51:12,1162,1,291,7,---,---,
Estribor,04:51:36,1161,8,293,0,---,---,
Estribor,04:51:59,1162,1,292,5,---,---,
Estribor,04:52:23,1161,9,293,7,---,---,
Estribor,04:52:46,1162,4,293,7,---,---,
Estribor,04:53:11,1161,8,295,2,---,---,
Estribor,04:53:35,1161,4,295,5,---,---,
Estribor,04:53:59,1161,9,297,1,---,---,
Estribor,04:54:22,1161,9,297,2,---,---,
Estribor,04:54:46,1161,9,298,4,---,---,
Estribor,04:55:09,1161,9,299,3,---,---,
Estribor,04:55:33,1162,1,300,5,---,---,
Estribor,04:55:56,1161,8,301,3,---,---,
Estribor,04:56:20,1161,8,300,9,---,---,
Estribor,04:56:43,1161,8,300,9,---,---,
Estribor,04:57:08,1161,7,300,6,---,---,
Estribor,04:57:32,1161,7,302,1,---,---,
Estribor,04:57:55,1161,6,300,8,---,---,
Estribor,04:58:19,1161,5,302,0,---,---,
Estribor,04:58:44,1161,7,302,0,---,---,
Estribor,04:59:07,1161,4,304,4,---,---,
Estribor,04:59:31,1161,6,304,2,---,---,
Estribor,04:59:54,1161,3,304,5,---,---,
Estribor,05:00:18,1161,4,304,4,---,---,
Estribor,05:00:41,1161,4,305,6,---,---,
Estribor,05:01:05,1161,8,305,8,---,---,
Estribor,05:01:28,1161,6,307,5,---,---,
Estribor,05:01:52,1161,6,306,8,---,---,
Estribor,05:02:15,1161,7,306,4,---,---,
Estribor,05:02:39,1161,7,307,9,---,---,
Estribor,05:03:02,1161,8,307,9,---,---,
Estribor,05:03:25,1162,0,307,0,---,---,
Estribor,05:03:49,1161,9,308,3,---,---,
Estribor,05:04:12,1162,2,307,7,---,---,
Estribor,05:04:37,1162,7,308,9,---,---,
Estribor,05:05:02,1162,3,307,5,---,---,
Estribor,05:05:25,1162,0,309,1,---,---,
Estribor,05:05:49,1161,7,310,1,---,---,
Estribor,05:06:12,1161,9,307,8,---,---,
Estribor,05:06:36,1161,7,307,9,---,---,
Estribor,05:06:59,1161,9,309,4,---,---,
Estribor,05:07:23,1161,8,309,0,---,---,
Estribor,05:07:46,1161,6,309,3,---,---,
Estribor,05:08:10,1162,0,309,1,---,---,
Estribor,05:08:33,1161,9,309,5,---,---,
Estribor,05:08:57,1161,8,309,1,---,---,
Estribor,05:09:20,1161,9,309,0,---,---,
Estribor,05:09:44,1161,9,309,1,---,---,
Estribor,05:10:07,1161,7,308,9,---,---,
Estribor,05:10:31,1161,7,310,2,---,---,
Estribor,05:10:55,1161,9,310,2,---,---,
Estribor,05:11:18,1161,8,310,5,---,---,
Estribor,05:11:42,1161,8,310,4,---,---,
Estribor,05:12:05,1161,9,310,2,---,---,
Estribor,05:12:30,1161,9,310,2,---,---,
Estribor,05:12:54,1161,7,310,2,---,---,
Estribor,05:13:19,1161,6,310,2,---,---,
Estribor,05:13:42,1161,6,310,4,---,---,
Estribor,05:14:06,1161,7,310,3,---,---,
Estribor,05:14:29,1161,7,310,1,---,---,
Estribor,05:14:53,1161,7,311,5,---,---,
Estribor,05:15:18,1161,5,310,4,---,---,
Estribor,05:15:41,1161,7,311,3,---,---,
Estribor,05:16:05,1161,6,310,2,---,---,
Estribor,05:16:28,1161,5,310,4,---,---,
Estribor,05:16:52,1161,8,311,3,---,---,
Estribor,05:17:16,1161,9,312,4,---,---,
Estribor,05:17:39,1161,7,312,5,---,---,
Estribor,05:18:03,1160,4,311,3,---,---,
Estribor,05:18:30,---,---,---,---,---,---,
Estribor,05:18:57,---,---,---,---,---,---,
Estribor,05:19:25,---,---,---,---,---,---,
Estribor,05:19:50,839,0,---,---,---,---,
Estribor,05:20:17,---,---,---,---,---,---,
Estribor,05:20:43,---,315,0,---,---,---,
Estribor,05:21:08,655,4,311,7,---,---,
Estribor,05:21:31,657,7,313,2,---,---,
Estribor,05:21:54,---,312,7,---,---,---,
Estribor,05:22:18,730,7,313,9,---,---,
Estribor,05:22:41,767,6,313,3,---,---,
Estribor,05:23:06,794,6,317,0,---,---,
Estribor,05:23:29,821,8,313,6,---,---,
Estribor,05:23:54,851,5,313,3,---,---,
Estribor,05:24:20,880,3,309,7,---,---,
Estribor,05:24:46,907,4,306,6,---,---,
Estribor,05:25:11,933,5,303,0,---,---,
Estribor,05:25:34,953,7,300,0,---,---,
Estribor,05:25:57,970,2,300,1,---,---,
Estribor,05:26:20,986,1,292,3,---,---,
Estribor,05:26:47,1002,0,287,1,---,---,
Estribor,05:27:11,1013,7,280,9,---,---,
Estribor,05:27:36,1024,2,275,3,---,---,
Estribor,05:27:59,1032,3,271,6,---,---,
Estribor,05:28:22,1039,1,266,9,---,---,
Estribor,05:28:45,1044,4,263,8,---,---,
Estribor,05:29:09,1049,2,260,7,---,---,
Estribor,05:29:34,1053,5,258,5,---,---,
Estribor,05:29:59,1057,2,257,4,---,---,
Estribor,05:30:24,1060,1,258,1,---,---,
Estribor,05:30:48,1062,0,257,8,---,---,
Estribor,05:31:11,1063,3,258,6,---,---,
Estribor,05:31:35,1071,7,263,6,---,---,
Estribor,05:31:58,1077,8,267,0,---,---,
Estribor,05:32:22,1086,2,271,4,---,---,
Estribor,05:32:46,1086,9,273,8,---,---,
Estribor,05:33:09,1092,4,279,1,---,---,
Estribor,05:33:33,1099,7,283,3,---,---,
Estribor,05:33:56,1104,6,285,7,---,---,
Estribor,05:34:20,1104,7,287,0,---,---,
Estribor,05:34:44,1106,8,291,7,---,---,
Estribor,05:35:07,1114,9,296,6,---,---,
Estribor,05:35:31,1122,5,301,9,---,---,
Estribor,05:35:54,1127,4,305,6,---,---,
Estribor,05:36:18,1127,9,305,3,---,---,
Estribor,05:36:42,1131,6,309,2,---,---,
Estribor,05:37:05,1137,5,312,8,---,---,
Estribor,05:37:29,1137,8,313,8,---,---,
Estribor,05:37:52,1137,8,316,3,---,---,
Estribor,05:38:16,---,314,3,---,---,---,
Estribor,05:38:39,1138,5,314,0,---,---,
Estribor,05:39:03,1146,6,315,2,---,---,
Estribor,05:39:25,1147,7,315,2,---,---,
Estribor,05:39:49,1154,5,---,---,---,---,
Estribor,05:40:10,1159,4,314,9,---,---,
Estribor,05:40:34,1159,3,314,6,---,---,
Estribor,05:40:57,1159,4,313,9,---,---,
Estribor,05:41:21,1159,6,312,8,---,---,
Estribor,05:41:44,1160,2,312,5,---,---,
Estribor,05:42:08,1161,0,310,0,---,---,
Estribor,05:42:31,1161,1,310,1,---,---,
Estribor,05:42:55,1161,4,310,1,---,---,
Estribor,05:43:18,1161,5,308,9,---,---,
Estribor,05:43:42,1161,5,309,5,---,---,
Estribor,05:44:06,1161,6,307,9,---,---,
Estribor,05:44:29,1161,6,307,7,---,---,
Estribor,05:44:53,1161,6,307,6,---,---,
Estribor,05:45:16,1161,5,306,7,---,---,
Estribor,05:45:40,1161,6,305,6,---,---,
Estribor,05:46:03,1161,5,304,4,---,---,
Estribor,05:46:27,1161,5,304,2,---,---,
Estribor,05:46:50,1161,5,304,5,---,---,
Estribor,05:47:14,1161,5,303,5,---,---,
Estribor,05:47:37,1161,9,301,6,---,---,
Estribor,05:48:01,1161,5,302,5,---,---,
Estribor,05:48:25,1161,5,301,7,---,---,
Estribor,05:48:48,1161,6,301,0,---,---,
Estribor,05:49:12,1161,6,301,2,---,---,
Estribor,05:49:35,1161,8,300,9,---,---,
Estribor,05:49:59,1161,9,300,2,---,---,
Estribor,05:50:22,1161,9,297,0,---,---,
Estribor,05:50:46,1162,2,297,2,---,---,
Estribor,05:51:09,1162,1,296,2,---,---,
Estribor,05:51:33,1162,2,296,1,---,---,
Estribor,05:51:56,1162,3,297,1,---,---,
Estribor,05:52:20,1162,3,293,5,---,---,
Estribor,05:52:44,1162,3,292,7,---,---,
Estribor,05:53:07,1162,1,291,5,---,---,
Estribor,05:53:31,1162,4,288,8,---,---,
Estribor,05:53:54,1162,3,287,0,---,---,
Estribor,05:54:18,1162,2,285,5,---,---,
Estribor,05:54:42,1162,2,285,5,---,---,
Estribor,05:55:05,1162,2,283,6,---,---,
Estribor,05:55:29,1162,1,282,4,---,---,
Estribor,05:55:53,1162,1,280,9,---,---,
Estribor,05:56:16,1162,6,278,5,---,---,
Estribor,05:56:40,1163,0,277,3,---,---,
Estribor,05:57:04,1163,0,277,4,---,---,
Estribor,05:57:27,1162,8,276,4,---,---,
Estribor,05:57:51,1163,0,275,1,---,---,
Estribor,05:58:15,1163,2,272,4,---,---,
Estribor,05:58:40,1163,2,272,5,---,---,
Estribor,05:59:03,1163,3,271,3,---,---,
Estribor,05:59:27,1163,3,271,5,---,---,
Estribor,05:59:51,1163,3,269,1,---,---,
Estribor,06:00:14,1163,6,267,8,---,---,
Estribor,06:00:38,1163,4,267,5,---,---,
Estribor,06:01:02,1163,2,268,1,---,---,
Estribor,06:01:25,1163,2,266,8,---,---,
Estribor,06:01:49,1163,4,266,5,---,---,
