Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Ala Abertura,02:24:25,279,9,---,---,---,---,
Ala Abertura,02:24:59,---,---,---,---,---,---,
Ala Abertura,02:25:33,---,---,---,---,---,---,
Ala Abertura,02:26:05,---,---,---,---,---,---,
Ala Abertura,02:26:38,---,---,---,---,---,---,
Ala Abertura,02:27:10,---,---,---,---,---,---,
Ala Abertura,02:27:43,---,---,---,---,---,---,
Ala Abertura,02:28:15,---,---,---,---,---,---,
Ala Abertura,02:28:48,---,---,---,---,---,---,
Ala Abertura,02:29:20,---,---,---,---,---,---,
Ala Abertura,02:29:53,---,---,---,---,---,---,
Ala Abertura,02:30:26,---,---,---,---,---,---,
Ala Abertura,02:30:59,---,---,---,---,---,---,
Ala Abertura,02:31:31,---,---,---,---,---,---,
Ala Abertura,02:32:04,---,---,---,---,---,---,
Ala Abertura,02:32:36,---,---,---,---,---,---,
Ala Abertura,02:33:08,---,---,---,---,---,---,
Ala Abertura,02:33:36,1425,1,14,1,---,---,
Ala Abertura,02:34:06,1424,6,14,8,---,---,
Ala Abertura,02:34:36,1424,2,15,1,---,---,
Ala Abertura,02:35:07,1423,4,15,0,---,---,
Ala Abertura,02:35:38,1422,7,15,1,---,---,
Ala Abertura,02:36:09,1422,0,15,6,---,---,
Ala Abertura,02:36:40,1421,9,15,5,---,---,
Ala Abertura,02:37:09,1421,8,15,9,---,---,
Ala Abertura,02:37:41,1422,0,---,---,---,---,
Ala Abertura,02:38:10,1421,9,---,---,---,---,
Ala Abertura,02:38:39,1422,2,15,4,---,---,
Ala Abertura,02:39:09,1421,9,15,9,---,---,
Ala Abertura,02:39:39,1422,9,15,7,---,---,
Ala Abertura,02:40:08,1425,7,15,9,---,---,
Ala Abertura,02:40:38,1427,0,15,7,---,---,
Ala Abertura,02:41:07,1428,9,15,7,---,---,
Ala Abertura,02:41:37,1430,0,15,8,---,---,
Ala Abertura,02:42:06,1430,9,16,1,---,---,
Ala Abertura,02:42:36,1431,7,15,8,---,---,
Ala Abertura,02:43:05,1432,6,15,7,---,---,
Ala Abertura,02:43:35,1434,0,16,2,---,---,
Ala Abertura,02:44:04,1435,6,15,8,---,---,
Ala Abertura,02:44:34,1436,9,15,6,---,---,
Ala Abertura,02:45:03,1437,8,21,0,---,---,
Ala Abertura,02:45:33,1438,2,---,---,---,---,
Ala Abertura,02:46:03,1438,2,---,---,---,---,
Ala Abertura,02:46:32,1437,6,---,---,---,---,
Ala Abertura,02:47:02,1437,4,18,7,---,---,
Ala Abertura,02:47:31,1436,7,20,9,---,---,
Ala Abertura,02:48:01,1437,2,---,---,---,---,
Ala Abertura,02:48:31,1434,7,18,7,---,---,
Ala Abertura,02:49:03,---,---,---,---,---,---,
Ala Abertura,02:49:32,1434,8,---,---,---,---,
Ala Abertura,02:50:01,1433,9,18,7,---,---,
Ala Abertura,02:50:33,---,---,---,---,---,---,
Ala Abertura,02:51:02,1438,3,18,7,---,---,
Ala Abertura,02:51:34,---,---,---,---,---,---,
Ala Abertura,02:52:03,1434,0,---,---,---,---,
Ala Abertura,02:52:34,---,---,---,---,---,---,
Ala Abertura,02:53:03,1434,4,---,---,---,---,
Ala Abertura,02:53:33,1434,0,24,1,---,---,
Ala Abertura,02:54:02,1434,4,18,6,---,---,
Ala Abertura,02:54:32,1434,8,21,7,---,---,
Ala Abertura,02:55:02,1434,2,20,5,---,---,
Ala Abertura,02:55:31,1434,0,19,6,---,---,
Ala Abertura,02:56:01,1433,3,20,2,---,---,
Ala Abertura,02:56:31,1432,3,---,---,---,---,
Ala Abertura,02:57:00,1431,5,21,6,---,---,
Ala Abertura,02:57:30,1431,5,22,9,---,---,
Ala Abertura,02:58:00,1431,5,---,---,---,---,
Ala Abertura,02:58:29,1430,9,21,2,---,---,
Ala Abertura,02:58:58,1430,8,28,9,---,---,
Ala Abertura,02:59:28,1430,4,19,6,---,---,
Ala Abertura,02:59:58,1430,0,18,8,---,---,
Ala Abertura,03:00:28,1429,6,---,---,---,---,
Ala Abertura,03:00:57,1429,6,23,3,---,---,
Ala Abertura,03:01:26,1429,2,20,7,---,---,
Ala Abertura,03:01:57,1429,0,---,---,---,---,
Ala Abertura,03:02:25,1428,4,22,0,---,---,
Ala Abertura,03:02:55,1428,1,---,---,---,---,
Ala Abertura,03:03:24,1428,4,20,8,---,---,
Ala Abertura,03:03:53,1428,3,19,7,---,---,
Ala Abertura,03:04:23,1428,4,20,1,---,---,
Ala Abertura,03:04:52,1429,0,18,7,---,---,
Ala Abertura,03:05:22,1429,2,---,---,---,---,
Ala Abertura,03:05:51,1429,3,31,1,---,---,
Ala Abertura,03:06:21,1429,7,---,---,---,---,
Ala Abertura,03:06:50,1430,1,18,4,---,---,
