Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,05:07:46,---,---,---,---,---,---,
Babor,05:08:13,---,---,---,---,---,---,
Babor,05:08:38,---,---,---,---,---,---,
Babor,05:09:02,---,---,---,---,---,---,
Babor,05:09:29,---,---,---,---,---,---,
Babor,05:09:54,---,---,---,---,---,---,
Babor,05:10:18,---,---,---,---,---,---,
Babor,05:10:43,---,---,---,---,---,---,
Babor,05:11:09,---,---,---,---,---,---,
Babor,05:11:36,---,---,---,---,---,---,
Babor,05:12:04,---,---,---,---,---,---,
Babor,05:12:29,---,---,---,---,---,---,
Babor,05:12:55,---,---,---,---,---,---,
Babor,05:13:22,---,---,---,---,---,---,
Babor,05:13:50,---,---,---,---,---,---,
Babor,05:14:16,---,---,---,---,---,---,
Babor,05:14:42,---,---,---,---,---,---,
Babor,05:15:06,---,---,---,---,---,---,
Babor,05:15:31,---,---,---,---,---,---,
Babor,05:15:55,---,---,---,---,---,---,
Babor,05:16:21,---,---,---,---,---,---,
Babor,05:16:46,---,---,---,---,---,---,
Babor,05:17:10,---,---,---,---,---,---,
Babor,05:17:35,---,---,---,---,---,---,
Babor,05:18:00,---,---,---,---,---,---,
Babor,05:18:25,---,---,---,---,---,---,
Babor,05:18:50,---,---,---,---,---,---,
Babor,05:19:15,---,---,---,---,---,---,
Babor,05:19:40,---,---,---,---,---,---,
Babor,05:20:05,---,---,---,---,---,---,
Babor,05:20:31,---,---,---,---,---,---,
Babor,05:20:58,---,---,---,---,---,---,
Babor,05:21:23,---,---,---,---,---,---,
Babor,05:21:47,---,---,---,---,---,---,
Babor,05:22:11,---,---,---,---,---,---,
Babor,05:22:36,---,---,---,---,---,---,
Babor,05:23:01,---,---,---,---,---,---,
Babor,05:23:26,---,---,---,---,---,---,
Babor,05:23:53,---,---,---,---,---,---,
Babor,05:24:18,---,---,---,---,---,---,
Babor,05:24:43,---,---,---,---,---,---,
Babor,05:25:08,---,---,---,---,---,---,
Babor,05:25:33,---,---,---,---,---,---,
Babor,05:25:59,---,---,---,---,---,---,
Babor,05:26:25,---,---,---,---,---,---,
Babor,05:26:49,---,---,---,---,---,---,
Babor,05:27:14,---,---,---,---,---,---,
Babor,05:27:37,---,---,---,---,---,---,
Babor,05:28:02,---,---,---,---,---,---,
Babor,05:28:27,---,---,---,---,---,---,
Babor,05:28:52,---,---,---,---,---,---,
Babor,05:29:18,---,---,---,---,---,---,
Babor,05:29:45,---,---,---,---,---,---,
Babor,05:30:10,---,---,---,---,---,---,
Babor,05:30:37,---,---,---,---,---,---,
Babor,05:31:04,---,---,---,---,---,---,
Babor,05:31:29,---,---,---,---,---,---,
Babor,05:31:55,---,---,---,---,---,---,
Babor,05:32:24,---,---,---,---,---,---,
Babor,05:32:51,---,---,---,---,---,---,
Babor,05:33:17,---,---,---,---,---,---,
Babor,05:33:44,---,---,---,---,---,---,
Babor,05:34:09,---,---,---,---,---,---,
Babor,05:34:35,---,---,---,---,---,---,
Babor,05:34:59,---,---,---,---,---,---,
Babor,05:35:25,---,---,---,---,---,---,
Babor,05:35:49,---,---,---,---,---,---,
Babor,05:36:14,---,---,---,---,---,---,
Babor,05:36:39,---,---,---,---,---,---,
Babor,05:37:04,---,---,---,---,---,---,
Babor,05:37:32,---,---,---,---,---,---,
Babor,05:37:58,---,---,---,---,---,---,
Babor,05:38:26,---,---,---,---,---,---,
Babor,05:38:56,---,---,---,---,---,---,
Babor,05:39:21,---,---,---,---,---,---,
Babor,05:39:47,---,---,---,---,---,---,
Babor,05:40:15,---,---,---,---,---,---,
Babor,05:40:40,---,---,---,---,---,---,
Babor,05:41:06,---,---,---,---,---,---,
Babor,05:41:34,---,---,---,---,---,---,
Babor,05:42:00,---,---,---,---,---,---,
Babor,05:42:24,---,---,---,---,---,---,
Babor,05:42:48,---,---,---,---,---,---,
Babor,05:43:13,---,---,---,---,---,---,
Babor,05:43:37,---,---,---,---,---,---,
Babor,05:44:05,---,---,---,---,---,---,
Babor,05:44:30,---,---,---,---,---,---,
Babor,05:44:55,---,---,---,---,---,---,
Babor,05:45:19,---,---,---,---,---,---,
Babor,05:45:46,---,---,---,---,---,---,
Babor,05:46:11,---,---,---,---,---,---,
Babor,05:46:36,---,---,---,---,---,---,
Babor,05:47:00,---,---,---,---,---,---,
Babor,05:47:24,---,---,---,---,---,---,
Babor,05:47:52,---,---,---,---,---,---,
Babor,05:48:17,---,---,---,---,---,---,
Babor,05:48:42,---,---,---,---,---,---,
Babor,05:49:07,---,---,---,---,---,---,
Babor,05:49:31,---,---,---,---,---,---,
Babor,05:49:58,---,---,---,---,---,---,
Babor,05:50:23,---,---,---,---,---,---,
Babor,05:50:50,---,---,---,---,---,---,
Babor,05:51:13,---,---,---,---,---,---,
Babor,05:51:38,---,---,---,---,---,---,
Babor,05:52:04,---,---,---,---,---,---,
Babor,05:52:29,---,---,---,---,---,---,
