Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,05:46:07,---,---,---,---,---,---,
Babor,05:46:29,879,9,---,---,---,---,
Babor,05:46:52,877,9,---,---,---,---,
Babor,05:47:13,878,3,---,---,---,---,
Babor,05:47:35,878,5,---,---,---,---,
Babor,05:47:58,878,8,---,---,---,---,
Babor,05:48:25,879,0,---,---,---,---,
Babor,05:48:51,879,8,---,---,---,---,
Babor,05:49:19,879,1,---,---,---,---,
Babor,05:49:42,880,2,---,---,---,---,
Babor,05:50:05,880,7,---,---,---,---,
Babor,05:50:28,879,6,47,3,---,---,
Babor,05:50:52,879,8,45,5,---,---,
Babor,05:51:17,880,4,---,---,---,---,
Babor,05:51:38,879,8,---,---,---,---,
Babor,05:52:02,879,8,---,---,---,---,
Babor,05:52:24,879,2,51,0,---,---,
Babor,05:52:49,880,2,---,---,---,---,
Babor,05:53:10,879,5,---,---,---,---,
Babor,05:53:32,879,9,---,---,---,---,
Babor,05:54:02,---,---,---,---,---,---,
Babor,05:54:29,880,3,---,---,---,---,
Babor,05:54:54,---,---,---,---,---,---,
Babor,05:55:19,880,2,---,---,---,---,
Babor,05:55:44,880,4,---,---,---,---,
Babor,05:56:12,879,8,---,---,---,---,
Babor,05:56:39,880,6,51,7,---,---,
Babor,05:57:06,879,7,---,---,---,---,
Babor,05:57:31,879,8,49,5,---,---,
Babor,05:57:58,879,8,---,---,---,---,
Babor,05:58:25,880,1,---,---,---,---,
Babor,05:58:48,879,5,---,---,---,---,
Babor,05:59:11,880,0,50,6,---,---,
Babor,05:59:36,879,8,---,---,---,---,
Babor,06:00:03,880,1,---,---,---,---,
Babor,06:00:29,879,7,---,---,---,---,
Babor,06:00:54,879,9,50,7,---,---,
Babor,06:01:22,---,---,---,---,---,---,
Babor,06:01:46,882,1,46,0,---,---,
Babor,06:02:11,---,---,---,---,---,---,
Babor,06:02:36,879,5,---,---,---,---,
Babor,06:02:58,885,4,---,---,---,---,
Babor,06:03:23,879,1,---,---,---,---,
Babor,06:03:49,880,2,50,0,---,---,
Babor,06:04:18,881,2,---,---,---,---,
Babor,06:04:45,880,2,---,---,---,---,
Babor,06:05:10,879,7,---,---,---,---,
