Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,07:17:23,---,---,---,---,---,---,
Babor,07:17:53,---,---,---,---,---,---,
Babor,07:18:22,---,---,---,---,---,---,
Babor,07:18:51,---,---,---,---,---,---,
Babor,07:19:21,---,---,---,---,---,---,
Babor,07:19:49,---,---,---,---,---,---,
Babor,07:20:18,---,---,---,---,---,---,
Babor,07:20:47,---,---,---,---,---,---,
Babor,07:21:17,---,---,---,---,---,---,
Babor,07:21:46,---,---,---,---,---,---,
Babor,07:22:16,---,---,---,---,---,---,
Babor,07:22:43,---,---,---,---,---,---,
Babor,07:23:11,---,---,---,---,---,---,
Babor,07:23:40,---,---,---,---,---,---,
Babor,07:24:09,---,---,---,---,---,---,
Babor,07:24:39,---,---,---,---,---,---,
Babor,07:25:08,---,---,---,---,---,---,
Babor,07:25:35,---,---,---,---,---,---,
Babor,07:26:03,---,---,---,---,---,---,
Babor,07:26:32,---,---,---,---,---,---,
Babor,07:27:01,---,---,---,---,---,---,
Babor,07:27:31,---,---,---,---,---,---,
Babor,07:27:58,---,---,---,---,---,---,
Babor,07:28:27,---,---,---,---,---,---,
Babor,07:28:54,---,---,---,---,---,---,
Babor,07:29:22,---,---,---,---,---,---,
Babor,07:29:49,---,---,---,---,---,---,
Babor,07:30:19,---,---,---,---,---,---,
Babor,07:30:48,---,---,---,---,---,---,
Babor,07:31:15,---,---,---,---,---,---,
Babor,07:31:45,---,---,---,---,---,---,
Babor,07:32:14,---,---,---,---,---,---,
Babor,07:32:44,---,---,---,---,---,---,
Babor,07:33:11,---,---,---,---,---,---,
Babor,07:33:40,---,---,---,---,---,---,
Babor,07:34:09,---,---,---,---,---,---,
Babor,07:34:39,---,---,---,---,---,---,
Babor,07:35:08,---,---,---,---,---,---,
Babor,07:35:38,---,---,---,---,---,---,
Babor,07:36:07,---,---,---,---,---,---,
Babor,07:36:36,---,---,---,---,---,---,
Babor,07:37:06,---,---,---,---,---,---,
Babor,07:37:34,---,---,---,---,---,---,
Babor,07:38:03,---,---,---,---,---,---,
Babor,07:38:32,---,---,---,---,---,---,
Babor,07:39:02,---,---,---,---,---,---,
Babor,07:39:31,---,---,---,---,---,---,
Babor,07:39:58,---,---,---,---,---,---,
Babor,07:40:23,---,---,---,---,---,---,
Babor,07:40:51,---,---,---,---,---,---,
Babor,07:41:17,---,---,---,---,---,---,
Babor,07:41:47,---,---,---,---,---,---,
Babor,07:42:13,---,---,---,---,---,---,
Babor,07:42:40,---,---,---,---,---,---,
Babor,07:43:05,---,---,---,---,---,---,
Babor,07:43:31,---,---,---,---,---,---,
Babor,07:43:58,---,---,---,---,---,---,
Babor,07:44:24,---,---,---,---,---,---,
Babor,07:44:49,---,---,---,---,---,---,
Babor,07:45:14,---,---,---,---,---,---,
Babor,07:45:39,---,---,---,---,---,---,
Babor,07:46:05,---,---,---,---,---,---,
Babor,07:46:30,---,---,---,---,---,---,
Babor,07:46:55,---,---,---,---,---,---,
Babor,07:47:20,---,---,---,---,---,---,
Babor,07:47:44,---,---,---,---,---,---,
Babor,07:48:09,---,---,---,---,---,---,
Babor,07:48:34,---,---,---,---,---,---,
Babor,07:48:59,---,---,---,---,---,---,
Babor,07:49:24,---,---,---,---,---,---,
Babor,07:49:49,---,---,---,---,---,---,
Babor,07:50:18,---,---,---,---,---,---,
Babor,07:50:46,---,---,---,---,---,---,
Babor,07:51:14,---,---,---,---,---,---,
Babor,07:51:42,---,---,---,---,---,---,
Babor,07:52:10,---,---,---,---,---,---,
Babor,07:52:38,---,---,---,---,---,---,
Babor,07:53:06,---,---,---,---,---,---,
Babor,07:53:34,---,---,---,---,---,---,
Babor,07:54:03,---,---,---,---,---,---,
Babor,07:54:31,---,---,---,---,---,---,
Babor,07:54:59,---,---,---,---,---,---,
Babor,07:55:29,---,---,---,---,---,---,
Babor,07:55:57,---,---,---,---,---,---,
Babor,07:56:25,---,---,---,---,---,---,
Babor,07:56:54,---,---,---,---,---,---,
Babor,07:57:22,---,---,---,---,---,---,
Babor,07:57:51,---,---,---,---,---,---,
Babor,07:58:21,---,---,---,---,---,---,
Babor,07:58:50,---,---,---,---,---,---,
Babor,07:59:20,---,---,---,---,---,---,
Babor,07:59:49,---,---,---,---,---,---,
Babor,08:00:18,---,---,---,---,---,---,
Babor,08:00:48,---,---,---,---,---,---,
Babor,08:01:17,---,---,---,---,---,---,
Babor,08:01:46,---,---,---,---,---,---,
Babor,08:02:16,---,---,---,---,---,---,
Babor,08:02:45,---,---,---,---,---,---,
Babor,08:03:15,---,---,---,---,---,---,
Babor,08:03:44,---,---,---,---,---,---,
Babor,08:04:13,---,---,---,---,---,---,
Babor,08:04:43,---,---,---,---,---,---,
Babor,08:05:12,---,---,---,---,---,---,
Babor,08:05:41,---,---,---,---,---,---,
Babor,08:06:11,---,---,---,---,---,---,
Babor,08:06:39,---,---,---,---,---,---,
Babor,08:07:08,---,---,---,---,---,---,
Babor,08:07:36,---,---,---,---,---,---,
Babor,08:08:04,---,---,---,---,---,---,
Babor,08:08:32,---,---,---,---,---,---,
Babor,08:09:00,---,---,---,---,---,---,
Babor,08:09:28,---,---,---,---,---,---,
Babor,08:09:54,---,---,---,---,---,---,
Babor,08:10:21,---,---,---,---,---,---,
Babor,08:10:46,---,---,---,---,---,---,
Babor,08:11:14,---,---,---,---,---,---,
Babor,08:11:44,---,---,---,---,---,---,
Babor,08:12:10,---,---,---,---,---,---,
Babor,08:12:37,---,---,---,---,---,---,
Babor,08:13:07,---,---,---,---,---,---,
Babor,08:13:36,---,---,---,---,---,---,
Babor,08:14:05,---,---,---,---,---,---,
Babor,08:14:32,---,---,---,---,---,---,
Babor,08:14:59,---,---,---,---,---,---,
Babor,08:15:26,---,---,---,---,---,---,
Babor,08:15:50,---,---,---,---,---,---,
Babor,08:16:16,---,---,---,---,---,---,
Babor,08:16:43,---,---,---,---,---,---,
Babor,08:17:09,---,---,---,---,---,---,
Babor,08:17:32,---,---,---,---,---,---,
Babor,08:17:57,---,---,---,---,---,---,
Babor,08:18:24,---,---,---,---,---,---,
Babor,08:18:50,---,---,---,---,---,---,
Babor,08:19:15,---,---,---,---,---,---,
Babor,08:19:42,---,---,---,---,---,---,
Babor,08:20:07,---,---,---,---,---,---,
Babor,08:20:35,---,---,---,---,---,---,
Babor,08:21:02,---,---,---,---,---,---,
Babor,08:21:29,---,---,---,---,---,---,
Babor,08:21:56,---,---,---,---,---,---,
Babor,08:22:20,---,---,---,---,---,---,
Babor,08:22:47,---,---,---,---,---,---,
Babor,08:23:16,---,---,---,---,---,---,
Babor,08:23:43,---,---,---,---,---,---,
Babor,08:24:11,---,---,---,---,---,---,
Babor,08:24:39,---,---,---,---,---,---,
Babor,08:25:08,---,---,---,---,---,---,
Babor,08:25:38,---,---,---,---,---,---,
Babor,08:26:07,---,---,---,---,---,---,
Babor,08:26:36,---,---,---,---,---,---,
Babor,08:27:06,---,---,---,---,---,---,
Babor,08:27:35,---,---,---,---,---,---,
Babor,08:28:05,---,---,---,---,---,---,
Babor,08:28:32,---,---,---,---,---,---,
Babor,08:28:58,---,---,---,---,---,---,
Babor,08:29:27,---,---,---,---,---,---,
Babor,08:29:56,---,---,---,---,---,---,
Babor,08:30:26,---,---,---,---,---,---,
Babor,08:30:55,---,---,---,---,---,---,
Babor,08:31:22,---,---,---,---,---,---,
Babor,08:31:52,---,---,---,---,---,---,
Babor,08:32:21,---,---,---,---,---,---,
Babor,08:32:50,---,---,---,---,---,---,
Babor,08:33:18,---,---,---,---,---,---,
Babor,08:33:47,---,---,---,---,---,---,
Babor,08:34:16,---,---,---,---,---,---,
Babor,08:34:44,---,---,---,---,---,---,
Babor,08:35:14,---,---,---,---,---,---,
Babor,08:35:43,---,---,---,---,---,---,
Babor,08:36:12,---,---,---,---,---,---,
Babor,08:36:42,---,---,---,---,---,---,
Babor,08:37:10,---,---,---,---,---,---,
Babor,08:37:38,---,---,---,---,---,---,
Babor,08:38:03,---,---,---,---,---,---,
Babor,08:38:32,---,---,---,---,---,---,
Babor,08:39:00,---,---,---,---,---,---,
Babor,08:39:25,---,---,---,---,---,---,
Babor,08:39:53,---,---,---,---,---,---,
Babor,08:40:20,---,---,---,---,---,---,
Babor,08:40:47,---,---,---,---,---,---,
Babor,08:41:15,---,---,---,---,---,---,
Babor,08:41:45,---,---,---,---,---,---,
Babor,08:42:13,---,---,---,---,---,---,
Babor,08:42:41,---,---,---,---,---,---,
Babor,08:43:10,---,---,---,---,---,---,
Babor,08:43:37,---,---,---,---,---,---,
Babor,08:44:05,---,---,---,---,---,---,
Babor,08:44:35,---,---,---,---,---,---,
Babor,08:45:02,---,---,---,---,---,---,
Babor,08:45:31,---,---,---,---,---,---,
Babor,08:45:56,---,---,---,---,---,---,
Babor,08:46:26,---,---,---,---,---,---,
Babor,08:46:55,---,---,---,---,---,---,
Babor,08:47:23,---,---,---,---,---,---,
Babor,08:47:48,---,---,---,---,---,---,
Babor,08:48:14,---,---,---,---,---,---,
Babor,08:48:41,---,---,---,---,---,---,
Babor,08:49:08,---,---,---,---,---,---,
Babor,08:49:35,---,---,---,---,---,---,
Babor,08:50:05,---,---,---,---,---,---,
Babor,08:50:34,---,---,---,---,---,---,
Babor,08:51:01,---,---,---,---,---,---,
Babor,08:51:26,---,---,---,---,---,---,
Babor,08:51:54,---,---,---,---,---,---,
Babor,08:52:19,---,---,---,---,---,---,
Babor,08:52:46,---,---,---,---,---,---,
Babor,08:53:14,---,---,---,---,---,---,
Babor,08:53:42,---,---,---,---,---,---,
Babor,08:54:06,---,---,---,---,---,---,
Babor,08:54:33,---,---,---,---,---,---,
Babor,08:55:00,---,---,---,---,---,---,
Babor,08:55:28,---,---,---,---,---,---,
Babor,08:55:57,---,---,---,---,---,---,
Babor,08:56:25,---,---,---,---,---,---,
Babor,08:56:54,---,---,---,---,---,---,
Babor,08:57:21,---,---,---,---,---,---,
Babor,08:57:45,---,---,---,---,---,---,
Babor,08:58:11,---,---,---,---,---,---,
Babor,08:58:36,---,---,---,---,---,---,
Babor,08:59:02,---,---,---,---,---,---,
Babor,08:59:27,---,---,---,---,---,---,
Babor,08:59:54,---,---,---,---,---,---,
Babor,09:00:24,---,---,---,---,---,---,
Babor,09:00:52,---,---,---,---,---,---,
Babor,09:01:20,---,---,---,---,---,---,
Babor,09:01:45,---,---,---,---,---,---,
Babor,09:02:13,---,---,---,---,---,---,
Babor,09:02:38,---,---,---,---,---,---,
Babor,09:03:06,---,---,---,---,---,---,
Babor,09:03:34,---,---,---,---,---,---,
Babor,09:04:02,---,---,---,---,---,---,
Babor,09:04:29,---,---,---,---,---,---,
Babor,09:04:57,---,---,---,---,---,---,
Babor,09:05:22,---,---,---,---,---,---,
Babor,09:05:48,---,---,---,---,---,---,
Babor,09:06:14,---,---,---,---,---,---,
Babor,09:06:42,---,---,---,---,---,---,
Babor,09:07:08,---,---,---,---,---,---,
Babor,09:07:33,---,---,---,---,---,---,
Babor,09:08:01,---,---,---,---,---,---,
Babor,09:08:31,---,---,---,---,---,---,
Babor,09:08:59,---,---,---,---,---,---,
Babor,09:09:28,---,---,---,---,---,---,
Babor,09:09:56,---,---,---,---,---,---,
Babor,09:10:21,---,---,---,---,---,---,
Babor,09:10:47,---,---,---,---,---,---,
Babor,09:11:15,---,---,---,---,---,---,
Babor,09:11:44,---,---,---,---,---,---,
Babor,09:12:12,---,---,---,---,---,---,
Babor,09:12:40,---,---,---,---,---,---,
Babor,09:13:03,---,---,---,---,---,---,
Babor,09:13:28,---,---,---,---,---,---,
Babor,09:13:56,---,---,---,---,---,---,
Babor,09:14:23,---,---,---,---,---,---,
Babor,09:14:49,---,---,---,---,---,---,
Babor,09:15:16,---,---,---,---,---,---,
Babor,09:15:43,---,---,---,---,---,---,
Babor,09:16:10,---,---,---,---,---,---,
Babor,09:16:38,---,---,---,---,---,---,
Babor,09:17:06,---,---,---,---,---,---,
Babor,09:17:34,---,---,---,---,---,---,
Babor,09:18:04,---,---,---,---,---,---,
Babor,09:18:31,---,---,---,---,---,---,
Babor,09:18:58,---,---,---,---,---,---,
Babor,09:19:26,---,---,---,---,---,---,
Babor,09:19:52,---,---,---,---,---,---,
Babor,09:20:21,---,---,---,---,---,---,
Babor,09:20:48,---,---,---,---,---,---,
Babor,09:21:16,---,---,---,---,---,---,
Babor,09:21:40,---,---,---,---,---,---,
Babor,09:22:05,---,---,---,---,---,---,
Babor,09:22:30,---,---,---,---,---,---,
Babor,09:22:58,---,---,---,---,---,---,
Babor,09:23:27,---,---,---,---,---,---,
Babor,09:23:52,---,---,---,---,---,---,
Babor,09:24:16,---,---,---,---,---,---,
Babor,09:24:44,---,---,---,---,---,---,
Babor,09:25:12,---,---,---,---,---,---,
Babor,09:25:41,---,---,---,---,---,---,
Babor,09:26:07,---,---,---,---,---,---,
Babor,09:26:36,---,---,---,---,---,---,
Babor,09:27:05,---,---,---,---,---,---,
Babor,09:27:35,---,---,---,---,---,---,
Babor,09:28:00,---,---,---,---,---,---,
Babor,09:28:27,---,---,---,---,---,---,
Babor,09:28:56,---,---,---,---,---,---,
Babor,09:29:24,---,---,---,---,---,---,
Babor,09:29:53,---,---,---,---,---,---,
