Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,07:17:38,---,---,---,---,---,---,
Starboard Door Heel,07:18:07,---,---,---,---,---,---,
Starboard Door Heel,07:18:37,---,---,---,---,---,---,
Starboard Door Heel,07:19:06,---,---,---,---,---,---,
Starboard Door Heel,07:19:34,---,---,---,---,---,---,
Starboard Door Heel,07:20:03,---,---,---,---,---,---,
Starboard Door Heel,07:20:33,---,---,---,---,---,---,
Starboard Door Heel,07:21:02,---,---,---,---,---,---,
Starboard Door Heel,07:21:32,---,---,---,---,---,---,
Starboard Door Heel,07:22:01,---,---,---,---,---,---,
Starboard Door Heel,07:22:28,---,---,---,---,---,---,
Starboard Door Heel,07:22:56,---,---,---,---,---,---,
Starboard Door Heel,07:23:25,---,---,---,---,---,---,
Starboard Door Heel,07:23:55,---,---,---,---,---,---,
Starboard Door Heel,07:24:24,---,---,---,---,---,---,
Starboard Door Heel,07:24:54,---,---,---,---,---,---,
Starboard Door Heel,07:25:21,---,---,---,---,---,---,
Starboard Door Heel,07:25:50,---,---,---,---,---,---,
Starboard Door Heel,07:26:17,---,---,---,---,---,---,
Starboard Door Heel,07:26:47,---,---,---,---,---,---,
Starboard Door Heel,07:27:16,---,---,---,---,---,---,
Starboard Door Heel,07:27:43,---,---,---,---,---,---,
Starboard Door Heel,07:28:13,---,---,---,---,---,---,
Starboard Door Heel,07:28:40,---,---,---,---,---,---,
Starboard Door Heel,07:29:08,---,---,---,---,---,---,
Starboard Door Heel,07:29:34,717,4,---,---,---,---,
Starboard Door Heel,07:30:04,---,---,---,---,---,---,
Starboard Door Heel,07:30:33,---,---,---,---,---,---,
Starboard Door Heel,07:31:01,---,---,---,---,---,---,
Starboard Door Heel,07:31:30,---,---,---,---,---,---,
Starboard Door Heel,07:31:59,---,---,---,---,---,---,
Starboard Door Heel,07:32:29,---,---,---,---,---,---,
Starboard Door Heel,07:32:56,---,---,---,---,---,---,
Starboard Door Heel,07:33:25,---,---,---,---,---,---,
Starboard Door Heel,07:33:55,---,---,---,---,---,---,
Starboard Door Heel,07:34:24,---,---,---,---,---,---,
Starboard Door Heel,07:34:54,---,---,---,---,---,---,
Starboard Door Heel,07:35:23,---,---,---,---,---,---,
Starboard Door Heel,07:35:52,---,---,---,---,---,---,
Starboard Door Heel,07:36:22,---,---,---,---,---,---,
Starboard Door Heel,07:36:51,---,---,---,---,---,---,
Starboard Door Heel,07:37:19,---,---,---,---,---,---,
Starboard Door Heel,07:37:48,---,---,---,---,---,---,
Starboard Door Heel,07:38:18,---,---,---,---,---,---,
