Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,06:10:57,---,---,---,---,---,---,
Babor,06:11:26,---,---,---,---,---,---,
Babor,06:11:54,---,---,---,---,---,---,
Babor,06:12:17,994,9,43,4,---,---,
Babor,06:12:44,---,---,---,---,---,---,
Babor,06:13:12,---,---,---,---,---,---,
Babor,06:13:39,995,2,---,---,---,---,
Babor,06:14:04,993,7,37,0,---,---,
Babor,06:14:30,991,9,44,4,---,---,
Babor,06:14:58,990,5,---,---,---,---,
Babor,06:15:24,991,4,---,---,---,---,
Babor,06:15:54,---,---,---,---,---,---,
Babor,06:16:22,---,---,---,---,---,---,
Babor,06:16:50,---,---,---,---,---,---,
Babor,06:17:16,---,---,---,---,---,---,
Babor,06:17:42,---,---,---,---,---,---,
Babor,06:18:04,990,2,38,3,---,---,
Babor,06:18:28,991,4,39,2,---,---,
Babor,06:18:58,---,---,---,---,---,---,
Babor,06:19:21,991,9,35,3,---,---,
Babor,06:19:48,991,5,---,---,---,---,
Babor,06:20:12,991,7,36,2,---,---,
Babor,06:20:39,---,---,---,---,---,---,
Babor,06:21:04,991,6,38,8,---,---,
Babor,06:21:28,992,0,---,---,---,---,
Babor,06:21:54,---,---,---,---,---,---,
Babor,06:22:20,---,---,---,---,---,---,
Babor,06:22:44,991,8,---,---,---,---,
Babor,06:23:10,992,4,---,---,---,---,
Babor,06:23:32,996,2,36,2,---,---,
Babor,06:24:01,992,3,---,---,---,---,
Babor,06:24:25,990,0,---,---,---,---,
Babor,06:24:50,991,5,36,3,---,---,
Babor,06:25:19,---,---,---,---,---,---,
Babor,06:25:47,---,---,---,---,---,---,
Babor,06:26:10,993,8,---,---,---,---,
Babor,06:26:36,---,---,---,---,---,---,
Babor,06:27:00,---,---,---,---,---,---,
Babor,06:27:26,---,---,---,---,---,---,
Babor,06:27:53,991,1,---,---,---,---,
Babor,06:28:19,996,1,---,---,---,---,
Babor,06:28:47,---,---,---,---,---,---,
Babor,06:29:12,---,---,---,---,---,---,
Babor,06:29:35,991,5,---,---,---,---,
Babor,06:29:59,992,1,37,8,---,---,
Babor,06:30:30,---,---,---,---,---,---,
Babor,06:30:53,991,2,36,7,---,---,
Babor,06:31:20,996,2,54,6,---,---,
Babor,06:31:49,---,---,---,---,---,---,
Babor,06:32:14,994,9,---,---,---,---,
Babor,06:32:39,993,9,40,0,---,---,
Babor,06:33:05,995,3,---,---,---,---,
Babor,06:33:31,---,---,---,---,---,---,
Babor,06:33:58,---,---,---,---,---,---,
Babor,06:34:20,993,8,37,4,---,---,
Babor,06:34:48,993,5,---,---,---,---,
Babor,06:35:16,---,---,---,---,---,---,
Babor,06:35:42,---,---,---,---,---,---,
Babor,06:36:05,996,3,48,2,---,---,
Babor,06:36:32,---,---,---,---,---,---,
Babor,06:36:55,993,1,---,---,---,---,
Babor,06:37:21,---,---,---,---,---,---,
Babor,06:37:45,992,1,---,---,---,---,
Babor,06:38:10,991,9,36,4,---,---,
Babor,06:38:36,991,7,---,---,---,---,
Babor,06:39:02,995,4,---,---,---,---,
Babor,06:39:26,991,9,36,9,---,---,
Babor,06:39:55,991,9,---,---,---,---,
Babor,06:40:19,991,3,---,---,---,---,
Babor,06:40:46,---,---,---,---,---,---,
Babor,06:41:14,---,---,---,---,---,---,
Babor,06:41:39,991,2,---,---,---,---,
Babor,06:42:02,992,9,37,0,---,---,
Babor,06:42:30,---,---,---,---,---,---,
Babor,06:42:55,993,8,41,6,---,---,
Babor,06:43:24,---,---,---,---,---,---,
Babor,06:43:47,989,2,---,---,---,---,
Babor,06:44:13,---,---,---,---,---,---,
Babor,06:44:38,990,9,---,---,---,---,
Babor,06:45:04,---,---,---,---,---,---,
