Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,06:11:11,---,---,---,---,---,---,
Starboard Door Heel,06:11:41,---,---,---,---,---,---,
Starboard Door Heel,06:12:05,992,6,47,8,---,---,
Starboard Door Heel,06:12:32,992,2,---,---,---,---,
Starboard Door Heel,06:12:56,995,7,43,7,---,---,
Starboard Door Heel,06:13:27,---,---,---,---,---,---,
Starboard Door Heel,06:13:54,---,---,---,---,---,---,
Starboard Door Heel,06:14:18,992,6,---,---,---,---,
Starboard Door Heel,06:14:46,---,---,---,---,---,---,
Starboard Door Heel,06:15:10,992,3,53,0,---,---,
Starboard Door Heel,06:15:39,---,---,---,---,---,---,
Starboard Door Heel,06:16:09,---,---,---,---,---,---,
Starboard Door Heel,06:16:33,995,9,55,9,---,---,
Starboard Door Heel,06:17:02,991,1,---,---,---,---,
Starboard Door Heel,06:17:28,996,9,---,---,---,---,
Starboard Door Heel,06:17:54,993,4,---,---,---,---,
Starboard Door Heel,06:18:18,991,9,---,---,---,---,
Starboard Door Heel,06:18:45,---,---,---,---,---,---,
Starboard Door Heel,06:19:10,992,4,---,---,---,---,
Starboard Door Heel,06:19:35,992,2,---,---,---,---,
Starboard Door Heel,06:20:01,994,6,---,---,---,---,
Starboard Door Heel,06:20:27,992,3,---,---,---,---,
Starboard Door Heel,06:20:54,---,---,---,---,---,---,
Starboard Door Heel,06:21:18,993,1,---,---,---,---,
Starboard Door Heel,06:21:41,993,6,---,---,---,---,
Starboard Door Heel,06:22:07,992,4,---,---,---,---,
Starboard Door Heel,06:22:33,994,0,---,---,---,---,
Starboard Door Heel,06:22:59,---,---,---,---,---,---,
Starboard Door Heel,06:23:22,994,4,---,---,---,---,
Starboard Door Heel,06:23:48,---,---,---,---,---,---,
Starboard Door Heel,06:24:13,992,2,---,---,---,---,
Starboard Door Heel,06:24:36,992,6,60,7,---,---,
Starboard Door Heel,06:25:06,---,---,---,---,---,---,
Starboard Door Heel,06:25:34,---,---,---,---,---,---,
Starboard Door Heel,06:25:59,993,4,---,---,---,---,
Starboard Door Heel,06:26:22,992,6,51,2,---,---,
Starboard Door Heel,06:26:48,993,7,52,2,---,---,
Starboard Door Heel,06:27:13,993,0,---,---,---,---,
Starboard Door Heel,06:27:41,---,---,---,---,---,---,
Starboard Door Heel,06:28:06,991,3,---,---,---,---,
Starboard Door Heel,06:28:33,---,---,---,---,---,---,
Starboard Door Heel,06:28:59,992,4,---,---,---,---,
Starboard Door Heel,06:29:24,992,0,---,---,---,---,
Starboard Door Heel,06:29:47,993,4,54,1,---,---,
Starboard Door Heel,06:30:15,---,---,---,---,---,---,
Starboard Door Heel,06:30:41,993,5,48,1,---,---,
Starboard Door Heel,06:31:10,---,---,---,---,---,---,
Starboard Door Heel,06:31:34,993,2,---,---,---,---,
Starboard Door Heel,06:32:03,---,---,---,---,---,---,
Starboard Door Heel,06:32:26,993,7,50,9,---,---,
Starboard Door Heel,06:32:52,994,6,51,2,---,---,
Starboard Door Heel,06:33:16,993,5,50,5,---,---,
Starboard Door Heel,06:33:44,992,8,---,---,---,---,
Starboard Door Heel,06:34:10,993,5,---,---,---,---,
Starboard Door Heel,06:34:34,993,0,49,1,---,---,
Starboard Door Heel,06:35:00,992,8,---,---,---,---,
Starboard Door Heel,06:35:28,992,4,---,---,---,---,
Starboard Door Heel,06:35:54,991,4,---,---,---,---,
Starboard Door Heel,06:36:19,993,7,---,---,---,---,
Starboard Door Heel,06:36:45,992,8,---,---,---,---,
Starboard Door Heel,06:37:08,994,5,---,---,---,---,
Starboard Door Heel,06:37:34,992,7,---,---,---,---,
Starboard Door Heel,06:38:00,---,---,---,---,---,---,
