Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,05:05:31,---,---,---,---,---,---,
Estribor,05:05:55,---,---,---,---,---,---,
Estribor,05:06:25,---,---,---,---,---,---,
Estribor,05:06:54,---,---,---,---,---,---,
Estribor,05:07:22,---,---,---,---,---,---,
Estribor,05:07:46,10,7,---,---,---,---,
Estribor,05:08:09,19,6,3,5,---,---,
Estribor,05:08:35,20,0,6,0,---,---,
Estribor,05:09:01,40,5,9,3,---,---,
Estribor,05:09:28,---,10,6,---,---,---,
Estribor,05:09:54,184,6,9,7,---,---,
Estribor,05:10:22,---,8,9,---,---,---,
Estribor,05:10:50,337,7,---,---,---,---,
Estribor,05:11:20,---,---,---,---,---,---,
Estribor,05:11:49,---,---,---,---,---,---,
Estribor,05:12:16,---,---,---,---,---,---,
Estribor,05:12:42,---,15,5,---,---,---,
Estribor,05:13:09,673,5,---,---,---,---,
Estribor,05:13:37,673,7,---,---,---,---,
Estribor,05:14:05,---,---,---,---,---,---,
Estribor,05:14:30,---,---,---,---,---,---,
Estribor,05:14:54,673,5,24,8,---,---,
Estribor,05:15:23,---,---,---,---,---,---,
Estribor,05:15:45,672,9,29,4,---,---,
Estribor,05:16:11,673,0,32,2,---,---,
Estribor,05:16:36,673,2,33,2,---,---,
Estribor,05:17:01,673,1,33,7,---,---,
Estribor,05:17:27,673,7,35,1,---,---,
Estribor,05:17:52,672,6,35,2,---,---,
Estribor,05:18:18,673,2,34,4,---,---,
Estribor,05:18:42,673,5,36,4,---,---,
Estribor,05:19:07,673,6,34,0,---,---,
Estribor,05:19:31,673,4,33,3,---,---,
Estribor,05:19:57,674,2,32,9,---,---,
Estribor,05:20:23,673,6,---,---,---,---,
Estribor,05:20:47,672,9,---,---,---,---,
Estribor,05:21:10,674,1,33,4,---,---,
Estribor,05:21:34,676,8,31,8,---,---,
Estribor,05:22:03,---,---,---,---,---,---,
Estribor,05:22:27,673,5,32,8,---,---,
Estribor,05:22:52,673,2,33,0,---,---,
Estribor,05:23:18,674,9,32,0,---,---,
Estribor,05:23:43,673,5,32,9,---,---,
Estribor,05:24:08,673,4,32,0,---,---,
Estribor,05:24:32,673,3,32,4,---,---,
Estribor,05:24:58,673,3,32,0,---,---,
Estribor,05:25:23,674,7,31,6,---,---,
Estribor,05:25:48,678,8,30,5,---,---,
Estribor,05:26:13,673,4,33,0,---,---,
Estribor,05:26:39,673,6,---,---,---,---,
Estribor,05:27:02,673,7,31,7,---,---,
Estribor,05:27:29,673,4,31,9,---,---,
Estribor,05:27:53,673,7,30,9,---,---,
Estribor,05:28:18,674,5,30,8,---,---,
Estribor,05:28:43,673,7,31,5,---,---,
Estribor,05:29:08,674,1,30,5,---,---,
Estribor,05:29:33,676,5,28,7,---,---,
Estribor,05:30:00,673,5,31,6,---,---,
Estribor,05:30:26,673,6,31,0,---,---,
Estribor,05:30:52,674,3,31,1,---,---,
Estribor,05:31:17,673,6,31,0,---,---,
Estribor,05:31:42,673,7,30,8,---,---,
Estribor,05:32:06,674,4,30,0,---,---,
Estribor,05:32:32,676,5,29,9,---,---,
Estribor,05:32:57,673,2,32,7,---,---,
Estribor,05:33:25,---,---,---,---,---,---,
Estribor,05:33:48,674,0,30,6,---,---,
Estribor,05:34:17,---,---,---,---,---,---,
Estribor,05:34:40,673,7,30,9,---,---,
Estribor,05:35:05,676,3,28,0,---,---,
Estribor,05:35:30,673,5,29,2,---,---,
Estribor,05:35:55,673,5,30,4,---,---,
Estribor,05:36:25,---,---,---,---,---,---,
Estribor,05:36:48,673,6,30,8,---,---,
Estribor,05:37:17,---,---,---,---,---,---,
Estribor,05:37:40,673,4,29,4,---,---,
Estribor,05:38:06,674,0,29,0,---,---,
Estribor,05:38:36,---,---,---,---,---,---,
Estribor,05:39:01,674,1,28,7,---,---,
Estribor,05:39:26,673,9,28,4,---,---,
Estribor,05:39:51,674,3,29,1,---,---,
Estribor,05:40:16,672,9,29,0,---,---,
Estribor,05:40:41,673,4,28,5,---,---,
Estribor,05:41:06,674,1,28,6,---,---,
Estribor,05:41:31,674,4,27,9,---,---,
Estribor,05:41:57,673,7,28,5,---,---,
