Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,05:05:22,589,7,---,---,---,---,
Starboard Door Heel,05:05:49,586,4,---,---,---,---,
Starboard Door Heel,05:06:11,587,5,---,---,---,---,
Starboard Door Heel,05:06:35,587,3,---,---,---,---,
Starboard Door Heel,05:07:00,587,8,---,---,---,---,
Starboard Door Heel,05:07:24,588,1,---,---,---,---,
Starboard Door Heel,05:07:47,588,2,---,---,---,---,
Starboard Door Heel,05:08:11,587,8,---,---,---,---,
Starboard Door Heel,05:08:35,588,1,---,---,---,---,
Starboard Door Heel,05:08:58,588,6,---,---,---,---,
Starboard Door Heel,05:09:22,588,4,---,---,---,---,
Starboard Door Heel,05:09:46,588,2,---,---,---,---,
Starboard Door Heel,05:10:09,588,4,---,---,---,---,
Starboard Door Heel,05:10:33,587,9,---,---,---,---,
Starboard Door Heel,05:10:56,587,9,---,---,---,---,
Starboard Door Heel,05:11:18,587,5,---,---,---,---,
Starboard Door Heel,05:11:41,587,2,---,---,---,---,
Starboard Door Heel,05:12:05,587,3,---,---,---,---,
Starboard Door Heel,05:12:28,587,1,---,---,---,---,
Starboard Door Heel,05:12:51,587,3,---,---,---,---,
Starboard Door Heel,05:13:16,587,5,---,---,---,---,
Starboard Door Heel,05:13:40,587,9,---,---,---,---,
Starboard Door Heel,05:14:04,588,4,---,---,---,---,
Starboard Door Heel,05:14:27,588,1,---,---,---,---,
Starboard Door Heel,05:14:51,587,4,---,---,---,---,
Starboard Door Heel,05:15:13,587,9,---,---,---,---,
Starboard Door Heel,05:15:37,587,6,---,---,---,---,
Starboard Door Heel,05:16:02,587,8,---,---,---,---,
Starboard Door Heel,05:16:26,588,1,---,---,---,---,
Starboard Door Heel,05:16:49,588,2,---,---,---,---,
Starboard Door Heel,05:17:13,588,1,---,---,---,---,
Starboard Door Heel,05:17:37,587,9,---,---,---,---,
Starboard Door Heel,05:18:02,588,5,---,---,---,---,
Starboard Door Heel,05:18:25,588,4,---,---,---,---,
Starboard Door Heel,05:18:50,588,9,---,---,---,---,
Starboard Door Heel,05:19:14,589,0,---,---,---,---,
Starboard Door Heel,05:19:38,588,3,---,---,---,---,
Starboard Door Heel,05:20:01,587,7,---,---,---,---,
Starboard Door Heel,05:20:25,587,8,---,---,---,---,
Starboard Door Heel,05:20:50,588,4,---,---,---,---,
Starboard Door Heel,05:21:15,588,2,---,---,---,---,
Starboard Door Heel,05:21:38,588,2,---,---,---,---,
Starboard Door Heel,05:22:01,588,2,---,---,---,---,
Starboard Door Heel,05:22:25,588,2,---,---,---,---,
Starboard Door Heel,05:22:49,588,0,---,---,---,---,
Starboard Door Heel,05:23:12,587,9,---,---,---,---,
Starboard Door Heel,05:23:36,587,8,---,---,---,---,
Starboard Door Heel,05:23:59,588,4,---,---,---,---,
Starboard Door Heel,05:24:23,588,2,---,---,---,---,
Starboard Door Heel,05:24:47,587,9,---,---,---,---,
Starboard Door Heel,05:25:10,587,7,---,---,---,---,
Starboard Door Heel,05:25:34,588,1,---,---,---,---,
Starboard Door Heel,05:25:57,587,9,---,---,---,---,
Starboard Door Heel,05:26:21,587,6,---,---,---,---,
Starboard Door Heel,05:26:45,587,3,---,---,---,---,
Starboard Door Heel,05:27:08,588,1,---,---,---,---,
Starboard Door Heel,05:27:32,588,1,---,---,---,---,
Starboard Door Heel,05:27:56,588,3,---,---,---,---,
Starboard Door Heel,05:28:19,587,6,---,---,---,---,
Starboard Door Heel,05:28:43,587,5,---,---,---,---,
Starboard Door Heel,05:29:06,588,2,---,---,---,---,
Starboard Door Heel,05:29:30,587,8,---,---,---,---,
Starboard Door Heel,05:29:54,587,5,---,---,---,---,
Starboard Door Heel,05:30:17,587,3,---,---,---,---,
Starboard Door Heel,05:30:41,587,6,---,---,---,---,
Starboard Door Heel,05:31:04,587,6,---,---,---,---,
Starboard Door Heel,05:31:27,588,3,---,---,---,---,
Starboard Door Heel,05:31:49,588,1,---,---,---,---,
Starboard Door Heel,05:32:13,588,2,---,---,---,---,
Starboard Door Heel,05:32:36,588,2,---,---,---,---,
Starboard Door Heel,05:32:59,587,7,---,---,---,---,
Starboard Door Heel,05:33:23,588,4,---,---,---,---,
Starboard Door Heel,05:33:46,587,7,---,---,---,---,
Starboard Door Heel,05:34:10,587,6,---,---,---,---,
Starboard Door Heel,05:34:34,588,1,---,---,---,---,
Starboard Door Heel,05:34:57,589,4,---,---,---,---,
Starboard Door Heel,05:35:21,588,1,---,---,---,---,
Starboard Door Heel,05:35:44,587,8,---,---,---,---,
Starboard Door Heel,05:36:08,588,0,---,---,---,---,
Starboard Door Heel,05:36:32,588,5,---,---,---,---,
Starboard Door Heel,05:36:55,588,5,---,---,---,---,
Starboard Door Heel,05:37:19,588,5,---,---,---,---,
Starboard Door Heel,05:37:43,588,8,---,---,---,---,
Starboard Door Heel,05:38:06,588,4,---,---,---,---,
Starboard Door Heel,05:38:30,588,5,---,---,---,---,
Starboard Door Heel,05:38:53,587,9,---,---,---,---,
Starboard Door Heel,05:39:17,588,4,---,---,---,---,
Starboard Door Heel,05:39:41,588,1,---,---,---,---,
Starboard Door Heel,05:40:04,587,9,---,---,---,---,
Starboard Door Heel,05:40:28,587,8,---,---,---,---,
Starboard Door Heel,05:40:51,587,7,---,---,---,---,
Starboard Door Heel,05:41:14,587,6,---,---,---,---,
Starboard Door Heel,05:41:38,588,4,---,---,---,---,
Starboard Door Heel,05:42:01,588,2,---,---,---,---,
Starboard Door Heel,05:42:27,588,0,---,---,---,---,
Starboard Door Heel,05:42:49,588,0,---,---,---,---,
Starboard Door Heel,05:43:14,587,9,---,---,---,---,
Starboard Door Heel,05:43:39,588,0,---,---,---,---,
Starboard Door Heel,05:44:03,588,5,---,---,---,---,
Starboard Door Heel,05:44:26,588,2,---,---,---,---,
Starboard Door Heel,05:44:50,588,2,---,---,---,---,
Starboard Door Heel,05:45:14,588,0,---,---,---,---,
Starboard Door Heel,05:45:37,587,7,---,---,---,---,
Starboard Door Heel,05:46:01,588,1,---,---,---,---,
Starboard Door Heel,05:46:24,587,6,---,---,---,---,
Starboard Door Heel,05:46:48,587,9,---,---,---,---,
Starboard Door Heel,05:47:12,588,2,---,---,---,---,
Starboard Door Heel,05:47:35,588,5,---,---,---,---,
Starboard Door Heel,05:47:59,588,3,---,---,---,---,
Starboard Door Heel,05:48:22,588,0,---,---,---,---,
Starboard Door Heel,05:48:46,588,2,---,---,---,---,
Starboard Door Heel,05:49:10,588,1,---,---,---,---,
Starboard Door Heel,05:49:33,588,2,---,---,---,---,
Starboard Door Heel,05:49:57,588,0,---,---,---,---,
Starboard Door Heel,05:50:20,587,7,---,---,---,---,
Starboard Door Heel,05:50:44,587,2,---,---,---,---,
Starboard Door Heel,05:51:08,588,1,---,---,---,---,
Starboard Door Heel,05:51:31,588,1,---,---,---,---,
Starboard Door Heel,05:51:55,588,2,---,---,---,---,
Starboard Door Heel,05:52:18,587,9,---,---,---,---,
Starboard Door Heel,05:52:42,588,6,---,---,---,---,
Starboard Door Heel,05:53:06,588,1,---,---,---,---,
Starboard Door Heel,05:53:29,588,4,---,---,---,---,
Starboard Door Heel,05:53:53,588,9,---,---,---,---,
Starboard Door Heel,05:54:16,588,1,---,---,---,---,
Starboard Door Heel,05:54:40,588,1,---,---,---,---,
Starboard Door Heel,05:55:04,588,6,---,---,---,---,
Starboard Door Heel,05:55:27,588,1,---,---,---,---,
Starboard Door Heel,05:55:51,588,2,---,---,---,---,
Starboard Door Heel,05:56:14,588,1,---,---,---,---,
Starboard Door Heel,05:56:37,588,2,---,---,---,---,
Starboard Door Heel,05:57:01,589,0,---,---,---,---,
Starboard Door Heel,05:57:25,587,7,---,---,---,---,
Starboard Door Heel,05:57:48,588,2,---,---,---,---,
Starboard Door Heel,05:58:12,587,5,---,---,---,---,
Starboard Door Heel,05:58:35,587,8,---,---,---,---,
Starboard Door Heel,05:58:59,587,9,---,---,---,---,
Starboard Door Heel,05:59:23,587,9,---,---,---,---,
Starboard Door Heel,05:59:46,588,4,---,---,---,---,
Starboard Door Heel,06:00:10,587,8,---,---,---,---,
Starboard Door Heel,06:00:35,587,6,---,---,---,---,
Starboard Door Heel,06:00:58,587,8,---,---,---,---,
Starboard Door Heel,06:01:22,587,9,---,---,---,---,
Starboard Door Heel,06:01:46,587,9,---,---,---,---,
Starboard Door Heel,06:02:09,587,8,---,---,---,---,
Starboard Door Heel,06:02:33,587,7,---,---,---,---,
Starboard Door Heel,06:02:56,587,9,---,---,---,---,
Starboard Door Heel,06:03:20,588,0,---,---,---,---,
Starboard Door Heel,06:03:43,588,2,---,---,---,---,
Starboard Door Heel,06:04:06,587,8,---,---,---,---,
Starboard Door Heel,06:04:30,588,1,---,---,---,---,
Starboard Door Heel,06:04:54,587,8,---,---,---,---,
Starboard Door Heel,06:05:17,587,8,---,---,---,---,
Starboard Door Heel,06:05:42,587,9,---,---,---,---,
Starboard Door Heel,06:06:05,587,7,---,---,---,---,
Starboard Door Heel,06:06:28,588,2,---,---,---,---,
Starboard Door Heel,06:06:52,588,0,---,---,---,---,
Starboard Door Heel,06:07:17,588,2,---,---,---,---,
Starboard Door Heel,06:07:41,588,1,---,---,---,---,
Starboard Door Heel,06:08:04,587,8,---,---,---,---,
Starboard Door Heel,06:08:28,588,2,---,---,---,---,
Starboard Door Heel,06:08:52,587,9,---,---,---,---,
Starboard Door Heel,06:09:17,587,7,---,---,---,---,
Starboard Door Heel,06:09:40,588,5,---,---,---,---,
Starboard Door Heel,06:10:04,588,5,---,---,---,---,
Starboard Door Heel,06:10:27,588,9,---,---,---,---,
Starboard Door Heel,06:10:51,588,6,---,---,---,---,
Starboard Door Heel,06:11:15,594,4,---,---,---,---,
Starboard Door Heel,06:11:38,588,9,---,---,---,---,
Starboard Door Heel,06:12:02,588,4,---,---,---,---,
Starboard Door Heel,06:12:25,589,4,---,---,---,---,
Starboard Door Heel,06:12:50,588,6,---,---,---,---,
Starboard Door Heel,06:13:14,588,6,---,---,---,---,
Starboard Door Heel,06:13:37,588,8,---,---,---,---,
Starboard Door Heel,06:13:59,588,7,---,---,---,---,
Starboard Door Heel,06:14:23,588,6,---,---,---,---,
Starboard Door Heel,06:14:47,588,4,---,---,---,---,
Starboard Door Heel,06:15:10,588,6,---,---,---,---,
