[NOTUS TEXTFILE V3.3]
File Created: 26-nov-2019 17:44:16
Tow Date: 21-may-2015 16:52:54


Transponder: E16G
Placement: Estribor

Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
E16G,16:53:24,---,---,---,---,---,---,
E16G,16:53:53,---,---,---,---,---,---,
E16G,16:54:23,---,---,---,---,---,---,
E16G,16:54:52,---,---,---,---,---,---,
E16G,16:55:22,---,---,---,---,---,---,
E16G,16:55:49,1741,5,12,7,---,---,---,---,
E16G,16:56:19,---,---,---,---,---,---,
E16G,16:56:47,---,---,---,---,---,---,
E16G,16:57:15,---,---,---,---,---,---,
E16G,16:57:43,---,---,---,---,---,---,
E16G,16:58:11,---,---,---,---,---,---,
E16G,16:58:39,---,---,---,---,---,---,
E16G,16:59:08,---,---,---,---,---,---,
E16G,16:59:37,---,---,---,---,---,---,
E16G,17:00:08,---,---,---,---,---,---,
E16G,17:00:37,---,---,---,---,---,---,
E16G,17:01:05,1462,7,---,---,---,---,---,
E16G,17:01:36,---,---,---,---,---,---,
E16G,17:02:05,---,---,---,---,---,---,
E16G,17:02:35,---,---,---,---,---,---,
E16G,17:03:01,---,---,---,---,---,---,
E16G,17:03:28,---,---,---,---,---,---,
E16G,17:03:58,---,---,---,---,---,---,
E16G,17:04:27,---,---,---,---,---,---,
E16G,17:04:57,---,---,---,---,---,---,
E16G,17:05:26,---,---,---,---,---,---,
E16G,17:05:55,---,---,---,---,---,---,
E16G,17:06:22,1740,0,0,6,---,---,---,---,
E16G,17:06:54,---,---,---,---,---,---,
E16G,17:07:23,---,---,---,---,---,---,
E16G,17:07:51,1741,4,98,0,---,---,---,---,
E16G,17:08:20,---,---,---,---,---,---,
E16G,17:08:48,---,---,---,---,---,---,
E16G,17:09:18,---,---,---,---,---,---,
E16G,17:09:46,---,---,---,---,---,---,
E16G,17:10:14,---,---,---,---,---,---,
E16G,17:10:43,---,---,---,---,---,---,
E16G,17:11:10,---,---,---,---,---,---,
E16G,17:11:39,---,---,---,---,---,---,
E16G,17:12:06,---,---,---,---,---,---,
E16G,17:12:33,---,---,---,---,---,---,
E16G,17:13:02,---,---,---,---,---,---,
E16G,17:13:30,---,---,---,---,---,---,
E16G,17:13:59,---,---,---,---,---,---,
