Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,06:02:55,1597,1,111,2,---,---,
Abertura,06:03:32,1597,1,104,7,---,---,
Abertura,06:04:09,1597,5,101,6,---,---,
Abertura,06:04:46,1596,5,100,5,---,---,
Abertura,06:05:23,1596,2,99,5,---,---,
Abertura,06:06:00,1596,3,96,3,---,---,
Abertura,06:06:38,1596,6,93,4,---,---,
Abertura,06:07:18,---,---,---,---,---,---,
Abertura,06:07:56,---,---,---,---,---,---,
Abertura,06:08:32,1589,3,---,---,---,---,
Abertura,06:09:09,1587,1,---,---,---,---,
Abertura,06:09:46,1584,8,---,---,---,---,
Abertura,06:10:25,1584,1,102,1,---,---,
Abertura,06:11:02,1584,0,102,1,---,---,
Abertura,06:11:39,1585,5,109,5,---,---,
Abertura,06:12:16,1586,3,121,5,---,---,
Abertura,06:12:53,1587,4,132,7,---,---,
Abertura,06:13:30,1589,3,143,7,---,---,
Abertura,06:14:08,1590,4,---,---,---,---,
Abertura,06:14:49,---,---,---,---,---,---,
Abertura,06:15:24,1593,4,---,---,---,---,
Abertura,06:16:05,---,---,---,---,---,---,
Abertura,06:16:42,1595,1,---,---,---,---,
Abertura,06:17:21,1596,1,---,---,---,---,
Abertura,06:17:59,1597,0,---,---,---,---,
Abertura,06:18:40,1597,6,---,---,---,---,
Abertura,06:19:19,1597,2,---,---,---,---,
Abertura,06:19:57,1597,7,---,---,---,---,
Abertura,06:20:34,1597,9,---,---,---,---,
Abertura,06:21:13,---,---,---,---,---,---,
Abertura,06:21:50,1599,2,---,---,---,---,
Abertura,06:22:27,1598,7,148,6,---,---,
Abertura,06:23:04,1599,1,145,6,---,---,
Abertura,06:23:43,---,---,---,---,---,---,
Abertura,06:24:19,1599,0,148,3,---,---,
Abertura,06:24:56,1598,9,149,5,---,---,
Abertura,06:25:33,1598,9,149,1,---,---,
Abertura,06:26:12,---,---,---,---,---,---,
Abertura,06:26:46,1599,0,148,7,---,---,
Abertura,06:27:23,1598,2,149,9,---,---,
Abertura,06:28:00,1598,4,---,---,---,---,
Abertura,06:28:37,1598,8,145,9,---,---,
Abertura,06:29:14,1598,7,145,5,---,---,
Abertura,06:29:53,---,---,---,---,---,---,
Abertura,06:30:29,1598,2,149,5,---,---,
Abertura,06:31:06,1598,3,149,1,---,---,
Abertura,06:31:43,1598,4,146,1,---,---,
Abertura,06:32:21,1598,6,145,1,---,---,
Abertura,06:32:59,1598,9,144,1,---,---,
Abertura,06:33:36,1599,2,141,5,---,---,
Abertura,06:34:16,1598,4,145,2,---,---,
Abertura,06:34:53,1598,2,144,1,---,---,
Abertura,06:35:30,1598,4,143,7,---,---,
Abertura,06:36:07,1598,1,144,8,---,---,
Abertura,06:36:43,1598,0,145,0,---,---,
Abertura,06:37:24,---,---,---,---,---,---,
Abertura,06:38:00,1597,9,141,5,---,---,
Abertura,06:38:37,1598,8,138,7,---,---,
Abertura,06:39:14,1598,0,---,---,---,---,
Abertura,06:39:51,1598,3,138,7,---,---,
Abertura,06:40:28,1597,5,139,5,---,---,
Abertura,06:41:05,1597,5,138,0,---,---,
Abertura,06:41:42,1598,3,136,4,---,---,
Abertura,06:42:19,1597,9,132,6,---,---,
Abertura,06:42:56,1599,1,128,8,---,---,
Abertura,06:43:33,1598,2,129,7,---,---,
Abertura,06:44:09,1597,8,130,1,---,---,
Abertura,06:44:50,---,---,---,---,---,---,
Abertura,06:45:26,1598,8,126,3,---,---,
Abertura,06:46:03,1598,5,127,7,---,---,
Abertura,06:46:40,1598,4,125,1,---,---,
Abertura,06:47:17,1597,3,127,9,---,---,
Abertura,06:47:54,1597,1,129,2,---,---,
Abertura,06:48:32,1597,4,130,3,---,---,
Abertura,06:49:09,1596,7,128,2,---,---,
Abertura,06:49:46,1596,4,129,4,---,---,
Abertura,06:50:23,1596,2,130,2,---,---,
Abertura,06:51:00,1596,9,130,6,---,---,
Abertura,06:51:36,1597,1,128,9,---,---,
Abertura,06:52:13,1596,9,128,1,---,---,
Abertura,06:52:50,1596,6,128,7,---,---,
Abertura,06:53:27,1596,7,128,8,---,---,
Abertura,06:54:05,1596,7,129,1,---,---,
Abertura,06:54:42,1597,0,126,7,---,---,
Abertura,06:55:19,1597,2,---,---,---,---,
Abertura,06:55:56,1597,3,129,7,---,---,
Abertura,06:56:33,1597,7,126,7,---,---,
Abertura,06:57:11,1598,2,128,0,---,---,
Abertura,06:57:48,1598,0,128,5,---,---,
Abertura,06:58:26,1598,3,126,7,---,---,
Abertura,06:59:03,1598,5,129,2,---,---,
Abertura,06:59:40,1598,4,126,9,---,---,
Abertura,07:00:18,1598,9,127,3,---,---,
Abertura,07:00:58,---,---,---,---,---,---,
Abertura,07:01:35,1600,0,125,1,---,---,
Abertura,07:02:12,1599,6,125,6,---,---,
Abertura,07:02:49,1600,1,122,9,---,---,
Abertura,07:03:26,1600,7,126,4,---,---,
Abertura,07:04:02,1599,5,126,0,---,---,
Abertura,07:04:39,1600,1,123,7,---,---,
Abertura,07:05:16,1599,8,124,5,---,---,
Abertura,07:05:55,1600,2,124,7,---,---,
Abertura,07:06:32,1600,2,125,5,---,---,
Abertura,07:07:09,1599,7,124,2,---,---,
Abertura,07:07:46,1600,1,124,3,---,---,
Abertura,07:08:24,1599,9,123,9,---,---,
Abertura,07:09:00,1600,3,124,2,---,---,
Abertura,07:09:37,1599,9,125,0,---,---,
Abertura,07:10:13,1600,3,126,5,---,---,
Abertura,07:10:50,---,---,---,---,---,---,
Abertura,07:11:26,1600,2,126,6,---,---,
Abertura,07:12:04,1600,0,125,6,---,---,
Abertura,07:12:41,1600,1,124,4,---,---,
Abertura,07:13:18,1600,5,124,0,---,---,
Abertura,07:13:56,1600,2,125,7,---,---,
Abertura,07:14:34,1600,4,122,9,---,---,
Abertura,07:15:11,1599,4,128,2,---,---,
Abertura,07:15:49,1599,5,131,0,---,---,
Abertura,07:16:25,1599,8,130,6,---,---,
Abertura,07:17:02,1599,9,128,3,---,---,
Abertura,07:17:39,1599,6,124,9,---,---,
Abertura,07:18:17,1599,2,127,7,---,---,
Abertura,07:18:53,1599,0,128,9,---,---,
