Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Alineamiento de Estribor,14:24:41,1697,2,0,4,---,---,
Alineamiento de Estribor,14:25:17,1696,5,0,4,---,---,
Alineamiento de Estribor,14:25:58,---,---,---,---,---,---,
Alineamiento de Estribor,14:26:36,1696,5,1,9,---,---,
Alineamiento de Estribor,14:27:16,1696,1,0,7,---,---,
Alineamiento de Estribor,14:27:53,1695,6,0,5,---,---,
Alineamiento de Estribor,14:28:30,1696,1,0,7,---,---,
Alineamiento de Estribor,14:29:07,1696,1,0,4,---,---,
Alineamiento de Estribor,14:29:43,1696,2,0,6,---,---,
Alineamiento de Estribor,14:30:20,1696,4,0,5,---,---,
Alineamiento de Estribor,14:30:57,1696,7,0,2,---,---,
Alineamiento de Estribor,14:31:35,1696,6,1,0,---,---,
Alineamiento de Estribor,14:32:11,1696,9,0,4,---,---,
Alineamiento de Estribor,14:32:48,1697,0,0,4,---,---,
Alineamiento de Estribor,14:33:26,1697,0,0,4,---,---,
Alineamiento de Estribor,14:34:03,1696,5,0,6,---,---,
Alineamiento de Estribor,14:34:41,1696,5,0,7,---,---,
Alineamiento de Estribor,14:35:18,1696,5,0,4,---,---,
Alineamiento de Estribor,14:35:55,1696,5,0,4,---,---,
Alineamiento de Estribor,14:36:33,1696,4,0,5,---,---,
Alineamiento de Estribor,14:37:10,1695,9,0,5,---,---,
Alineamiento de Estribor,14:37:47,1695,9,0,7,---,---,
Alineamiento de Estribor,14:38:24,1695,7,0,3,---,---,
Alineamiento de Estribor,14:39:01,1695,4,0,4,---,---,
Alineamiento de Estribor,14:39:38,1695,6,2,1,---,---,
Alineamiento de Estribor,14:40:15,1695,7,0,3,---,---,
Alineamiento de Estribor,14:40:56,---,---,---,---,---,---,
Alineamiento de Estribor,14:41:33,1695,0,0,1,---,---,
Alineamiento de Estribor,14:42:12,1694,6,0,7,---,---,
Alineamiento de Estribor,14:42:50,1694,9,0,6,---,---,
Alineamiento de Estribor,14:43:28,1694,7,0,9,---,---,
Alineamiento de Estribor,14:44:05,1694,9,0,6,---,---,
Alineamiento de Estribor,14:44:42,1695,1,0,9,---,---,
Alineamiento de Estribor,14:45:24,1694,9,0,4,---,---,
Alineamiento de Estribor,14:46:03,1695,2,0,4,---,---,
Alineamiento de Estribor,14:46:43,1695,2,0,2,---,---,
Alineamiento de Estribor,14:47:19,1695,6,0,4,---,---,
Alineamiento de Estribor,14:47:56,1695,7,1,0,---,---,
Alineamiento de Estribor,14:48:34,1696,6,0,1,---,---,
Alineamiento de Estribor,14:49:10,1696,3,0,1,---,---,
Alineamiento de Estribor,14:49:48,1696,6,1,0,---,---,
Alineamiento de Estribor,14:50:25,1696,6,0,4,---,---,
Alineamiento de Estribor,14:51:02,1696,5,1,0,---,---,
Alineamiento de Estribor,14:51:39,1696,5,0,9,---,---,
Alineamiento de Estribor,14:52:17,1696,6,0,3,---,---,
Alineamiento de Estribor,14:52:54,1696,7,0,8,---,---,
Alineamiento de Estribor,14:53:31,1696,3,0,7,---,---,
Alineamiento de Estribor,14:54:08,1696,3,0,3,---,---,
Alineamiento de Estribor,14:54:45,1696,1,0,6,---,---,
Alineamiento de Estribor,14:55:22,1696,7,0,1,---,---,
Alineamiento de Estribor,14:55:59,1696,3,0,1,---,---,
Alineamiento de Estribor,14:56:36,1695,8,0,5,---,---,
Alineamiento de Estribor,14:57:13,1695,6,0,2,---,---,
Alineamiento de Estribor,14:57:50,1695,1,0,7,---,---,
Alineamiento de Estribor,14:58:29,1695,5,---,---,---,---,
Alineamiento de Estribor,14:59:08,1695,8,---,---,---,---,
Alineamiento de Estribor,14:59:47,---,---,---,---,---,---,
Alineamiento de Estribor,15:00:27,---,---,---,---,---,---,
Alineamiento de Estribor,15:01:03,1695,1,0,3,---,---,
Alineamiento de Estribor,15:01:42,---,---,---,---,---,---,
Alineamiento de Estribor,15:02:21,---,---,---,---,---,---,
Alineamiento de Estribor,15:02:58,1695,6,0,2,---,---,
Alineamiento de Estribor,15:03:35,1696,1,0,3,---,---,
Alineamiento de Estribor,15:04:12,1696,2,0,3,---,---,
Alineamiento de Estribor,15:04:53,---,---,---,---,---,---,
Alineamiento de Estribor,15:05:34,---,---,---,---,---,---,
Alineamiento de Estribor,16:22:36,725,0,1,9,---,---,
Alineamiento de Estribor,16:23:13,---,1,5,---,---,---,
Alineamiento de Estribor,16:23:54,---,---,---,---,---,---,
Alineamiento de Estribor,16:24:35,---,---,---,---,---,---,
Alineamiento de Estribor,16:25:10,1422,4,1,5,---,---,
Alineamiento de Estribor,16:25:50,---,---,---,---,---,---,
Alineamiento de Estribor,16:26:29,---,0,5,---,---,---,
Alineamiento de Estribor,16:27:12,1725,8,---,---,---,---,
Alineamiento de Estribor,16:27:55,---,---,---,---,---,---,
Alineamiento de Estribor,16:28:36,1734,4,---,---,---,---,
Alineamiento de Estribor,16:29:18,---,---,---,---,---,---,
Alineamiento de Estribor,16:30:00,---,---,---,---,---,---,
Alineamiento de Estribor,16:30:42,---,---,---,---,---,---,
Alineamiento de Estribor,16:31:24,---,---,---,---,---,---,
Alineamiento de Estribor,16:32:08,---,---,---,---,---,---,
Alineamiento de Estribor,16:32:50,---,---,---,---,---,---,
