Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Cabecera altura,15:46:02,---,---,---,---,---,---,
Cabecera altura,15:46:26,---,---,---,---,---,---,
Cabecera altura,15:46:52,---,---,---,---,---,---,
Cabecera altura,15:47:14,764,0,22,1,---,---,
Cabecera altura,15:47:41,---,---,---,---,---,---,
Cabecera altura,15:48:08,---,---,---,---,---,---,
Cabecera altura,15:48:34,---,---,---,---,---,---,
Cabecera altura,15:49:00,---,---,---,---,---,---,
Cabecera altura,15:49:27,---,---,---,---,---,---,
Cabecera altura,15:49:56,---,---,---,---,---,---,
Cabecera altura,15:50:24,---,---,---,---,---,---,
Cabecera altura,15:50:51,---,---,---,---,---,---,
Cabecera altura,15:51:20,---,---,---,---,---,---,
Cabecera altura,15:51:49,---,---,---,---,---,---,
Cabecera altura,15:52:16,---,---,---,---,---,---,
Cabecera altura,15:52:44,---,---,---,---,---,---,
Cabecera altura,15:53:12,---,---,---,---,---,---,
Cabecera altura,15:53:42,---,---,---,---,---,---,
Cabecera altura,15:54:07,---,---,---,---,---,---,
Cabecera altura,15:54:32,---,---,---,---,---,---,
Cabecera altura,15:54:57,---,---,---,---,---,---,
Cabecera altura,15:55:25,---,---,---,---,---,---,
Cabecera altura,15:55:50,1802,1,22,8,---,---,
Cabecera altura,15:56:17,---,---,---,---,---,---,
Cabecera altura,15:56:45,---,---,---,---,---,---,
Cabecera altura,15:57:11,---,---,---,---,---,---,
Cabecera altura,15:57:37,---,---,---,---,---,---,
Cabecera altura,15:58:02,---,---,---,---,---,---,
Cabecera altura,15:58:29,---,---,---,---,---,---,
Cabecera altura,15:58:54,---,---,---,---,---,---,
Cabecera altura,15:59:19,---,---,---,---,---,---,
Cabecera altura,15:59:47,---,---,---,---,---,---,
Cabecera altura,16:00:15,---,---,---,---,---,---,
Cabecera altura,16:00:41,---,---,---,---,---,---,
Cabecera altura,16:01:09,---,---,---,---,---,---,
Cabecera altura,16:01:39,---,---,---,---,---,---,
Cabecera altura,16:02:08,---,---,---,---,---,---,
Cabecera altura,16:02:37,---,---,---,---,---,---,
Cabecera altura,16:03:07,---,---,---,---,---,---,
Cabecera altura,16:03:36,---,---,---,---,---,---,
Cabecera altura,16:04:05,---,---,---,---,---,---,
Cabecera altura,16:04:35,---,---,---,---,---,---,
Cabecera altura,16:05:04,---,---,---,---,---,---,
Cabecera altura,16:05:34,---,---,---,---,---,---,
Cabecera altura,16:06:02,---,---,---,---,---,---,
Cabecera altura,16:06:31,---,---,---,---,---,---,
Cabecera altura,16:07:01,---,---,---,---,---,---,
Cabecera altura,16:07:30,---,---,---,---,---,---,
Cabecera altura,16:07:57,---,---,---,---,---,---,
Cabecera altura,16:08:26,---,---,---,---,---,---,
Cabecera altura,16:08:55,---,---,---,---,---,---,
Cabecera altura,16:09:25,---,---,---,---,---,---,
Cabecera altura,16:09:54,---,---,---,---,---,---,
Cabecera altura,16:10:23,---,---,---,---,---,---,
Cabecera altura,16:10:53,---,---,---,---,---,---,
Cabecera altura,16:11:22,---,---,---,---,---,---,
Cabecera altura,16:11:50,2018,6,46,8,---,---,
Cabecera altura,16:12:20,---,---,---,---,---,---,
Cabecera altura,16:12:49,---,---,---,---,---,---,
Cabecera altura,16:13:19,---,---,---,---,---,---,
Cabecera altura,16:13:48,---,---,---,---,---,---,
Cabecera altura,16:14:17,---,---,---,---,---,---,
Cabecera altura,16:14:47,---,---,---,---,---,---,
Cabecera altura,16:15:16,---,---,---,---,---,---,
Cabecera altura,16:15:46,---,---,---,---,---,---,
Cabecera altura,16:16:15,---,---,---,---,---,---,
Cabecera altura,16:16:44,---,---,---,---,---,---,
Cabecera altura,16:17:14,---,---,---,---,---,---,
Cabecera altura,16:17:43,---,---,---,---,---,---,
Cabecera altura,16:18:13,---,---,---,---,---,---,
Cabecera altura,16:18:43,---,---,---,---,---,---,
Cabecera altura,16:19:12,---,---,---,---,---,---,
Cabecera altura,16:19:41,---,---,---,---,---,---,
Cabecera altura,16:20:11,---,---,---,---,---,---,
Cabecera altura,16:20:40,---,---,---,---,---,---,
Cabecera altura,16:21:10,---,---,---,---,---,---,
Cabecera altura,16:21:39,---,---,---,---,---,---,
Cabecera altura,16:22:08,---,---,---,---,---,---,
Cabecera altura,16:22:38,---,---,---,---,---,---,
Cabecera altura,16:23:07,---,---,---,---,---,---,
Cabecera altura,16:23:37,---,---,---,---,---,---,
Cabecera altura,16:24:06,---,---,---,---,---,---,
Cabecera altura,16:24:35,---,---,---,---,---,---,
Cabecera altura,16:25:03,---,---,---,---,---,---,
Cabecera altura,16:25:33,---,---,---,---,---,---,
Cabecera altura,16:26:02,---,---,---,---,---,---,
Cabecera altura,16:26:31,---,---,---,---,---,---,
Cabecera altura,16:27:01,---,---,---,---,---,---,
Cabecera altura,16:27:30,---,---,---,---,---,---,
Cabecera altura,16:28:00,---,---,---,---,---,---,
Cabecera altura,16:28:29,---,---,---,---,---,---,
Cabecera altura,16:28:58,---,---,---,---,---,---,
Cabecera altura,16:29:28,---,---,---,---,---,---,
Cabecera altura,16:29:57,---,---,---,---,---,---,
Cabecera altura,16:30:26,---,---,---,---,---,---,
Cabecera altura,16:30:56,---,---,---,---,---,---,
Cabecera altura,16:31:25,---,---,---,---,---,---,
Cabecera altura,16:31:55,---,---,---,---,---,---,
Cabecera altura,16:32:24,---,---,---,---,---,---,
Cabecera altura,16:32:53,---,---,---,---,---,---,
Cabecera altura,16:33:23,---,---,---,---,---,---,
Cabecera altura,16:33:52,---,---,---,---,---,---,
Cabecera altura,16:34:21,---,---,---,---,---,---,
Cabecera altura,16:34:51,---,---,---,---,---,---,
Cabecera altura,16:35:20,---,---,---,---,---,---,
Cabecera altura,16:35:50,---,---,---,---,---,---,
Cabecera altura,16:36:19,---,---,---,---,---,---,
Cabecera altura,16:36:48,---,---,---,---,---,---,
Cabecera altura,16:37:18,---,---,---,---,---,---,
Cabecera altura,16:37:44,---,---,---,---,---,---,
Cabecera altura,16:38:14,---,---,---,---,---,---,
Cabecera altura,16:38:43,---,---,---,---,---,---,
Cabecera altura,16:39:13,---,---,---,---,---,---,
Cabecera altura,16:39:42,---,---,---,---,---,---,
Cabecera altura,16:40:11,---,---,---,---,---,---,
Cabecera altura,16:40:41,---,---,---,---,---,---,
Cabecera altura,16:41:10,---,---,---,---,---,---,
Cabecera altura,16:41:39,---,---,---,---,---,---,
Cabecera altura,16:42:09,---,---,---,---,---,---,
Cabecera altura,16:42:38,---,---,---,---,---,---,
Cabecera altura,16:43:06,---,---,---,---,---,---,
Cabecera altura,16:43:36,---,---,---,---,---,---,
Cabecera altura,16:44:05,---,---,---,---,---,---,
Cabecera altura,16:44:34,---,---,---,---,---,---,
Cabecera altura,16:45:04,---,---,---,---,---,---,
Cabecera altura,16:45:33,---,---,---,---,---,---,
Cabecera altura,16:46:02,---,---,---,---,---,---,
Cabecera altura,16:46:32,---,---,---,---,---,---,
Cabecera altura,16:47:01,---,---,---,---,---,---,
Cabecera altura,16:47:31,---,---,---,---,---,---,
Cabecera altura,16:48:00,---,---,---,---,---,---,
Cabecera altura,16:48:29,---,---,---,---,---,---,
Cabecera altura,16:48:58,1941,7,---,---,---,---,
Cabecera altura,16:49:27,---,---,---,---,---,---,
Cabecera altura,16:49:56,---,---,---,---,---,---,
Cabecera altura,16:50:26,---,---,---,---,---,---,
Cabecera altura,16:50:52,---,---,---,---,---,---,
Cabecera altura,16:51:22,---,---,---,---,---,---,
Cabecera altura,16:51:51,---,---,---,---,---,---,
Cabecera altura,16:52:21,---,---,---,---,---,---,
Cabecera altura,16:52:50,---,---,---,---,---,---,
Cabecera altura,16:53:19,---,---,---,---,---,---,
Cabecera altura,16:53:49,---,---,---,---,---,---,
Cabecera altura,16:54:18,---,---,---,---,---,---,
Cabecera altura,16:54:48,---,---,---,---,---,---,
Cabecera altura,16:55:17,---,---,---,---,---,---,
Cabecera altura,16:55:46,---,---,---,---,---,---,
Cabecera altura,16:56:16,---,---,---,---,---,---,
Cabecera altura,16:56:45,---,---,---,---,---,---,
Cabecera altura,16:57:14,---,---,---,---,---,---,
Cabecera altura,16:57:44,---,---,---,---,---,---,
Cabecera altura,16:58:13,---,---,---,---,---,---,
Cabecera altura,16:58:43,---,---,---,---,---,---,
Cabecera altura,16:59:12,---,---,---,---,---,---,
Cabecera altura,16:59:41,---,---,---,---,---,---,
Cabecera altura,17:00:11,---,---,---,---,---,---,
Cabecera altura,17:00:40,---,---,---,---,---,---,
