Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,17:04:55,---,---,---,---,---,---,
Babor,17:05:23,---,---,---,---,---,---,
Babor,17:05:53,---,---,---,---,---,---,
Babor,17:06:21,---,---,---,---,---,---,
Babor,17:06:49,1836,5,---,---,---,---,
Babor,17:07:17,---,---,---,---,---,---,
Babor,17:07:44,1742,1,---,---,---,---,
Babor,17:08:10,1741,9,---,---,---,---,
Babor,17:08:35,1742,2,0,9,---,---,
Babor,17:09:02,1741,5,---,---,---,---,
Babor,17:09:29,---,---,---,---,---,---,
Babor,17:09:55,1740,5,0,3,---,---,
Babor,17:10:21,1740,5,-2,3,---,---,
Babor,17:10:52,---,---,---,---,---,---,
Babor,17:11:17,1739,8,-0,4,---,---,
Babor,17:11:43,1739,7,-1,2,---,---,
Babor,17:12:10,1739,6,-0,9,---,---,
Babor,17:12:38,---,---,---,---,---,---,
Babor,17:13:04,---,---,---,---,---,---,
Babor,17:13:28,1739,4,-2,0,---,---,
Babor,17:13:53,1739,8,-4,0,---,---,
Babor,17:14:22,---,---,---,---,---,---,
Babor,17:14:46,1801,4,33,7,---,---,
Babor,17:15:14,---,---,---,---,---,---,
Babor,17:15:42,---,---,---,---,---,---,
Babor,17:16:11,---,---,---,---,---,---,
Babor,17:16:40,---,---,---,---,---,---,
Babor,17:17:10,---,---,---,---,---,---,
Babor,17:17:39,---,---,---,---,---,---,
Babor,17:18:08,---,---,---,---,---,---,
Babor,17:18:38,---,---,---,---,---,---,
Babor,17:19:07,---,---,---,---,---,---,
Babor,17:19:37,---,---,---,---,---,---,
Babor,17:20:05,---,---,---,---,---,---,
Babor,17:20:33,---,---,---,---,---,---,
Babor,17:21:00,---,---,---,---,---,---,
Babor,17:21:28,---,---,---,---,---,---,
Babor,17:21:56,---,---,---,---,---,---,
Babor,17:22:24,---,---,---,---,---,---,
Babor,17:22:52,---,---,---,---,---,---,
Babor,17:23:18,1740,6,-12,2,---,---,
Babor,17:23:46,1740,8,-12,1,---,---,
