Code,Tiempo,Escalas(m),Datos1(°C),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Temperature,00:37:05,---,---,---,---,---,---,
Starboard Temperature,00:37:44,1597,9,11,3,---,---,
Starboard Temperature,00:38:23,1598,8,---,---,---,---,
Starboard Temperature,00:39:02,1597,8,---,---,---,---,
Starboard Temperature,00:39:41,1598,0,---,---,---,---,
Starboard Temperature,00:40:22,---,---,---,---,---,---,
Starboard Temperature,00:41:01,---,---,---,---,---,---,
Starboard Temperature,00:41:42,1597,9,---,---,---,---,
Starboard Temperature,00:42:22,1598,2,---,---,---,---,
Starboard Temperature,00:42:59,1598,1,11,3,---,---,
Starboard Temperature,00:43:38,1598,4,---,---,---,---,
Starboard Temperature,00:44:15,---,---,---,---,---,---,
Starboard Temperature,00:44:53,---,---,---,---,---,---,
Starboard Temperature,00:45:31,1597,4,11,2,---,---,
Starboard Temperature,00:46:11,1597,6,---,---,---,---,
Starboard Temperature,00:46:49,1598,0,11,2,---,---,
Starboard Temperature,00:47:26,1597,8,11,1,---,---,
Starboard Temperature,00:48:03,1602,2,10,9,---,---,
Starboard Temperature,00:48:40,1597,8,11,2,---,---,
Starboard Temperature,00:49:17,1598,2,11,1,---,---,
Starboard Temperature,00:49:56,---,---,---,---,---,---,
Starboard Temperature,00:50:33,1598,2,11,1,---,---,
Starboard Temperature,00:51:14,1598,4,---,---,---,---,
Starboard Temperature,00:51:51,1598,4,11,1,---,---,
Starboard Temperature,00:52:28,1599,1,11,1,---,---,
Starboard Temperature,00:53:05,1598,8,11,1,---,---,
Starboard Temperature,00:53:42,1599,1,11,1,---,---,
Starboard Temperature,00:54:20,1598,7,11,1,---,---,
Starboard Temperature,00:54:58,1598,7,11,1,---,---,
Starboard Temperature,00:55:37,---,---,---,---,---,---,
Starboard Temperature,00:56:13,1598,5,11,0,---,---,
Starboard Temperature,00:56:54,---,---,---,---,---,---,
Starboard Temperature,00:57:32,1598,8,11,0,---,---,
Starboard Temperature,00:58:10,1599,0,11,0,---,---,
Starboard Temperature,00:58:47,1598,4,11,0,---,---,
Starboard Temperature,00:59:24,1599,1,11,0,---,---,
Starboard Temperature,01:00:01,1598,0,10,9,---,---,
Starboard Temperature,01:00:40,1598,1,11,0,---,---,
Starboard Temperature,01:01:18,1598,4,---,---,---,---,
Starboard Temperature,01:01:56,1598,2,10,9,---,---,
Starboard Temperature,01:02:33,1598,2,11,0,---,---,
Starboard Temperature,01:03:09,1598,7,11,0,---,---,
Starboard Temperature,01:03:46,1597,9,11,0,---,---,
Starboard Temperature,01:04:25,---,---,---,---,---,---,
Starboard Temperature,01:05:03,1598,5,10,9,---,---,
Starboard Temperature,01:05:41,1598,0,10,9,---,---,
Starboard Temperature,01:06:20,1597,8,---,---,---,---,
