Code,Tiempo,Escalas(m),Datos1(),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Capturas 1,07:14:13,713,0,Off,---,---,---,
Capturas 1,07:14:39,717,5,---,---,---,---,
Capturas 1,07:15:02,721,3,Off,---,---,---,
Capturas 1,07:15:31,---,---,---,---,---,---,
Capturas 1,07:15:55,726,2,---,---,---,---,
Capturas 1,07:16:18,727,3,Off,---,---,---,
Capturas 1,07:16:47,---,---,---,---,---,---,
Capturas 1,07:17:13,---,---,---,---,---,---,
Capturas 1,07:17:40,---,---,---,---,---,---,
Capturas 1,07:18:06,---,---,---,---,---,---,
Capturas 1,07:18:33,---,---,---,---,---,---,
Capturas 1,07:18:59,---,---,---,---,---,---,
Capturas 1,07:19:23,726,7,---,---,---,---,
Capturas 1,07:19:50,---,---,---,---,---,---,
Capturas 1,07:20:16,---,---,---,---,---,---,
Capturas 1,07:20:43,---,---,---,---,---,---,
Capturas 1,07:21:09,---,---,---,---,---,---,
Capturas 1,07:21:36,---,---,---,---,---,---,
Capturas 1,07:21:59,727,1,Off,---,---,---,
Capturas 1,07:22:24,727,4,Off,---,---,---,
Capturas 1,07:22:49,726,4,Off,---,---,---,
Capturas 1,07:23:15,726,0,---,---,---,---,
Capturas 1,07:23:42,---,---,---,---,---,---,
Capturas 1,07:24:08,---,---,---,---,---,---,
Capturas 1,07:24:35,---,---,---,---,---,---,
Capturas 1,07:24:58,728,0,Off,---,---,---,
Capturas 1,07:25:24,726,6,---,---,---,---,
Capturas 1,07:25:51,---,---,---,---,---,---,
Capturas 1,07:26:15,728,1,Off,---,---,---,
Capturas 1,07:26:41,728,0,---,---,---,---,
Capturas 1,07:27:08,---,---,---,---,---,---,
Capturas 1,07:27:34,---,---,---,---,---,---,
Capturas 1,07:27:59,726,9,---,---,---,---,
Capturas 1,07:28:23,730,9,---,---,---,---,
Capturas 1,07:28:47,727,5,---,---,---,---,
Capturas 1,07:29:14,---,---,---,---,---,---,
Capturas 1,07:29:38,728,4,---,---,---,---,
Capturas 1,07:30:05,---,---,---,---,---,---,
Capturas 1,07:30:27,727,5,Off,---,---,---,
Capturas 1,07:30:56,---,---,---,---,---,---,
Capturas 1,07:31:23,---,---,---,---,---,---,
Capturas 1,07:31:45,727,3,Off,---,---,---,
Capturas 1,07:32:11,727,3,Off,---,---,---,
Capturas 1,07:32:39,---,---,---,---,---,---,
Capturas 1,07:33:03,728,4,---,---,---,---,
Capturas 1,07:33:26,728,7,Off,---,---,---,
Capturas 1,07:33:52,727,7,---,---,---,---,
Capturas 1,07:34:16,728,3,Off,---,---,---,
Capturas 1,07:34:41,728,0,Off,---,---,---,
Capturas 1,07:35:07,727,9,Off,---,---,---,
Capturas 1,07:35:36,---,---,---,---,---,---,
Capturas 1,07:35:59,727,7,Off,---,---,---,
Capturas 1,07:36:23,733,8,Off,---,---,---,
Capturas 1,07:36:48,728,5,Off,---,---,---,
Capturas 1,07:37:14,728,4,---,---,---,---,
Capturas 1,07:37:37,727,9,Off,---,---,---,
Capturas 1,07:38:02,728,0,Off,---,---,---,
Capturas 1,07:38:27,728,4,Off,---,---,---,
Capturas 1,07:38:51,728,1,Off,---,---,---,
Capturas 1,07:39:17,728,2,Off,---,---,---,
Capturas 1,07:39:43,733,1,Off,---,---,---,
Capturas 1,07:40:11,---,---,---,---,---,---,
Capturas 1,07:40:37,---,---,---,---,---,---,
Capturas 1,07:41:03,728,4,---,---,---,---,
Capturas 1,07:41:27,727,9,Off,---,---,---,
Capturas 1,07:41:52,728,2,Off,---,---,---,
Capturas 1,07:42:19,728,1,Off,---,---,---,
Capturas 1,07:42:44,728,2,Off,---,---,---,
Capturas 1,07:43:09,729,0,Off,---,---,---,
Capturas 1,07:43:34,728,2,Off,---,---,---,
Capturas 1,07:43:59,728,0,Off,---,---,---,
Capturas 1,07:44:24,733,2,Off,---,---,---,
Capturas 1,07:44:53,---,---,---,---,---,---,
Capturas 1,07:45:20,---,---,---,---,---,---,
Capturas 1,07:45:46,---,---,---,---,---,---,
Capturas 1,07:46:12,---,---,---,---,---,---,
Capturas 1,07:46:38,---,---,---,---,---,---,
Capturas 1,07:47:06,---,---,---,---,---,---,
Capturas 1,07:47:33,---,---,---,---,---,---,
Capturas 1,07:47:59,---,---,---,---,---,---,
