Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,10:23:00,---,---,---,---,---,---,
Babor,10:23:26,---,---,---,---,---,---,
Babor,10:23:51,---,---,---,---,---,---,
Babor,10:24:17,---,---,---,---,---,---,
Babor,10:24:45,---,---,---,---,---,---,
Babor,10:25:10,---,---,---,---,---,---,
Babor,10:25:37,---,---,---,---,---,---,
Babor,10:26:06,---,---,---,---,---,---,
Babor,10:26:30,---,---,---,---,---,---,
Babor,10:26:56,---,---,---,---,---,---,
Babor,10:27:21,---,---,---,---,---,---,
Babor,10:27:49,---,---,---,---,---,---,
Babor,10:28:16,---,---,---,---,---,---,
Babor,10:28:42,---,---,---,---,---,---,
Babor,10:29:10,---,---,---,---,---,---,
Babor,10:29:36,---,---,---,---,---,---,
Babor,10:30:04,---,---,---,---,---,---,
Babor,10:30:32,---,---,---,---,---,---,
Babor,10:30:59,---,---,---,---,---,---,
Babor,10:31:26,---,---,---,---,---,---,
Babor,10:31:53,---,---,---,---,---,---,
Babor,10:32:23,---,---,---,---,---,---,
Babor,10:32:48,---,---,---,---,---,---,
Babor,10:33:13,---,---,---,---,---,---,
Babor,10:33:42,---,---,---,---,---,---,
Babor,10:34:10,---,---,---,---,---,---,
Babor,10:34:40,---,---,---,---,---,---,
Babor,10:35:09,---,---,---,---,---,---,
Babor,10:35:32,---,---,---,---,---,---,
Babor,10:36:00,---,---,---,---,---,---,
Babor,10:36:25,---,---,---,---,---,---,
Babor,10:36:49,---,---,---,---,---,---,
Babor,10:37:13,---,---,---,---,---,---,
Babor,10:37:39,---,---,---,---,---,---,
Babor,10:38:07,---,---,---,---,---,---,
Babor,10:38:34,---,---,---,---,---,---,
Babor,10:39:02,---,---,---,---,---,---,
Babor,10:39:28,---,---,---,---,---,---,
Babor,10:39:55,---,---,---,---,---,---,
Babor,10:40:20,---,---,---,---,---,---,
Babor,10:40:45,---,---,---,---,---,---,
Babor,10:41:10,---,---,---,---,---,---,
Babor,10:41:38,---,---,---,---,---,---,
Babor,10:42:07,---,---,---,---,---,---,
Babor,10:42:33,---,---,---,---,---,---,
Babor,10:42:58,---,---,---,---,---,---,
Babor,10:43:23,---,---,---,---,---,---,
Babor,10:43:48,---,---,---,---,---,---,
Babor,10:44:13,---,---,---,---,---,---,
Babor,10:44:38,---,---,---,---,---,---,
Babor,10:45:03,---,---,---,---,---,---,
Babor,10:45:28,---,---,---,---,---,---,
Babor,10:45:53,---,---,---,---,---,---,
Babor,10:46:18,---,---,---,---,---,---,
Babor,10:46:43,---,---,---,---,---,---,
Babor,10:47:08,---,---,---,---,---,---,
Babor,10:47:33,---,---,---,---,---,---,
Babor,10:47:58,---,---,---,---,---,---,
Babor,10:48:24,---,---,---,---,---,---,
Babor,10:48:49,---,---,---,---,---,---,
Babor,10:49:14,---,---,---,---,---,---,
Babor,10:49:39,---,---,---,---,---,---,
Babor,10:50:04,---,---,---,---,---,---,
Babor,10:50:29,---,---,---,---,---,---,
Babor,10:50:54,---,---,---,---,---,---,
Babor,10:51:20,---,---,---,---,---,---,
Babor,10:51:48,---,---,---,---,---,---,
Babor,10:52:16,---,---,---,---,---,---,
Babor,10:52:44,---,---,---,---,---,---,
Babor,10:53:12,---,---,---,---,---,---,
Babor,10:53:40,---,---,---,---,---,---,
Babor,10:54:08,---,---,---,---,---,---,
Babor,10:54:36,---,---,---,---,---,---,
Babor,10:55:05,---,---,---,---,---,---,
Babor,10:55:33,---,---,---,---,---,---,
Babor,10:56:01,---,---,---,---,---,---,
Babor,10:56:29,---,---,---,---,---,---,
Babor,10:56:57,---,---,---,---,---,---,
Babor,10:57:25,---,---,---,---,---,---,
Babor,10:57:55,---,---,---,---,---,---,
Babor,10:58:24,---,---,---,---,---,---,
Babor,10:58:53,---,---,---,---,---,---,
Babor,10:59:21,---,---,---,---,---,---,
Babor,10:59:51,---,---,---,---,---,---,
Babor,11:00:20,---,---,---,---,---,---,
Babor,11:00:49,---,---,---,---,---,---,
Babor,11:01:19,---,---,---,---,---,---,
Babor,11:01:48,---,---,---,---,---,---,
Babor,11:02:18,---,---,---,---,---,---,
Babor,11:02:47,---,---,---,---,---,---,
Babor,11:03:16,---,---,---,---,---,---,
Babor,11:03:44,---,---,---,---,---,---,
Babor,11:04:12,---,---,---,---,---,---,
Babor,11:04:42,---,---,---,---,---,---,
Babor,11:05:11,---,---,---,---,---,---,
Babor,11:05:40,---,---,---,---,---,---,
Babor,11:06:10,---,---,---,---,---,---,
Babor,11:06:39,---,---,---,---,---,---,
Babor,11:07:09,---,---,---,---,---,---,
Babor,11:07:38,---,---,---,---,---,---,
Babor,11:08:07,---,---,---,---,---,---,
Babor,11:08:37,---,---,---,---,---,---,
