Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Estribor,10:01:04,---,---,---,---,---,---,
Estribor,10:01:28,735,9,25,4,---,---,
Estribor,10:01:53,736,6,---,---,---,---,
Estribor,10:02:19,736,5,---,---,---,---,
Estribor,10:02:43,736,4,24,5,---,---,
Estribor,10:03:09,737,2,23,3,---,---,
Estribor,10:03:36,---,---,---,---,---,---,
Estribor,10:04:00,736,7,24,3,---,---,
Estribor,10:04:27,736,5,23,9,---,---,
Estribor,10:04:52,739,1,22,2,---,---,
Estribor,10:05:19,---,---,---,---,---,---,
Estribor,10:05:45,736,4,---,---,---,---,
Estribor,10:06:08,736,2,25,5,---,---,
Estribor,10:06:34,736,2,---,---,---,---,
Estribor,10:06:58,735,6,---,---,---,---,
Estribor,10:07:24,735,8,---,---,---,---,
Estribor,10:07:50,735,5,---,---,---,---,
Estribor,10:08:20,---,---,---,---,---,---,
Estribor,10:08:49,---,---,---,---,---,---,
Estribor,10:09:16,---,---,---,---,---,---,
Estribor,10:09:43,---,---,---,---,---,---,
Estribor,10:10:11,---,---,---,---,---,---,
Estribor,10:10:38,---,---,---,---,---,---,
Estribor,10:11:04,736,5,---,---,---,---,
Estribor,10:11:27,736,4,---,---,---,---,
Estribor,10:11:52,736,5,---,---,---,---,
Estribor,10:12:16,737,1,---,---,---,---,
Estribor,10:12:39,736,6,25,0,---,---,
Estribor,10:13:07,737,0,24,4,---,---,
Estribor,10:13:32,736,5,---,---,---,---,
Estribor,10:13:56,736,6,---,---,---,---,
Estribor,10:14:21,736,1,26,1,---,---,
Estribor,10:14:49,---,---,---,---,---,---,
Estribor,10:15:13,736,7,---,---,---,---,
Estribor,10:15:36,737,3,---,---,---,---,
Estribor,10:16:02,737,9,---,---,---,---,
Estribor,10:16:28,---,---,---,---,---,---,
Estribor,10:16:53,---,---,---,---,---,---,
Estribor,10:17:21,---,---,---,---,---,---,
Estribor,10:17:49,---,---,---,---,---,---,
Estribor,10:18:17,---,---,---,---,---,---,
Estribor,10:18:42,735,7,---,---,---,---,
Estribor,10:19:10,---,---,---,---,---,---,
Estribor,10:19:38,---,---,---,---,---,---,
Estribor,10:20:06,---,---,---,---,---,---,
Estribor,10:20:31,---,---,---,---,---,---,
Estribor,10:21:01,---,---,---,---,---,---,
Estribor,10:21:29,---,---,---,---,---,---,
Estribor,10:21:54,737,7,---,---,---,---,
Estribor,10:22:19,736,1,24,2,---,---,
Estribor,10:22:47,736,3,23,8,---,---,
Estribor,10:23:14,736,3,---,---,---,---,
Estribor,10:23:40,---,---,---,---,---,---,
Estribor,10:24:08,---,---,---,---,---,---,
Estribor,10:24:36,---,---,---,---,---,---,
Estribor,10:25:04,---,---,---,---,---,---,
Estribor,10:25:31,---,---,---,---,---,---,
Estribor,10:26:01,---,---,---,---,---,---,
Estribor,10:26:28,---,---,---,---,---,---,
Estribor,10:26:56,---,---,---,---,---,---,
Estribor,10:27:19,736,3,23,7,---,---,
Estribor,10:27:49,---,---,---,---,---,---,
Estribor,10:28:12,736,3,---,---,---,---,
Estribor,10:28:38,736,7,22,8,---,---,
Estribor,10:29:05,736,7,---,---,---,---,
Estribor,10:29:34,---,---,---,---,---,---,
Estribor,10:29:59,---,---,---,---,---,---,
Estribor,10:30:27,---,---,---,---,---,---,
Estribor,10:30:54,736,7,---,---,---,---,
Estribor,10:31:18,737,5,---,---,---,---,
Estribor,10:31:41,725,9,25,5,---,---,
Estribor,10:32:07,---,---,---,---,---,---,
Estribor,10:32:31,646,9,24,9,---,---,
Estribor,10:32:57,608,2,24,9,---,---,
Estribor,10:33:22,574,3,25,0,---,---,
Estribor,10:33:48,540,4,25,3,---,---,
Estribor,10:34:18,---,---,---,---,---,---,
Estribor,10:34:41,472,9,24,8,---,---,
Estribor,10:35:06,441,2,25,0,---,---,
Estribor,10:35:31,408,4,24,5,---,---,
Estribor,10:35:56,376,7,24,6,---,---,
Estribor,10:36:21,344,5,26,3,---,---,
Estribor,10:36:46,309,8,26,6,---,---,
Estribor,10:37:11,273,8,23,2,---,---,
Estribor,10:37:36,235,6,18,4,---,---,
Estribor,10:38:01,198,0,15,9,---,---,
Estribor,10:38:26,161,7,17,4,---,---,
Estribor,10:38:51,127,1,18,8,---,---,
Estribor,10:39:16,92,7,18,4,---,---,
Estribor,10:39:41,62,7,14,8,---,---,
Estribor,10:40:06,37,2,10,5,---,---,
Estribor,10:40:32,20,6,7,8,---,---,
Estribor,10:40:57,11,9,6,1,---,---,
Estribor,10:41:28,---,---,---,---,---,---,
Estribor,10:41:56,---,---,---,---,---,---,
Estribor,10:42:24,---,---,---,---,---,---,
Estribor,10:42:51,---,---,---,---,---,---,
