Code,Tiempo,Escalas(m),Datos1(°),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Starboard Door Heel,06:04:56,---,---,---,---,---,---,
Starboard Door Heel,06:05:25,---,---,---,---,---,---,
Starboard Door Heel,06:05:55,---,---,---,---,---,---,
Starboard Door Heel,06:06:16,755,9,50,6,---,---,
Starboard Door Heel,06:06:44,---,---,---,---,---,---,
Starboard Door Heel,06:07:09,756,8,44,7,---,---,
Starboard Door Heel,06:07:34,---,19,1,---,---,---,
Starboard Door Heel,06:07:57,758,3,---,---,---,---,
Starboard Door Heel,06:08:23,756,8,---,---,---,---,
Starboard Door Heel,06:08:48,---,---,---,---,---,---,
Starboard Door Heel,06:09:15,---,---,---,---,---,---,
Starboard Door Heel,06:09:38,756,6,---,---,---,---,
Starboard Door Heel,06:10:06,---,---,---,---,---,---,
Starboard Door Heel,06:10:30,758,1,52,6,---,---,
Starboard Door Heel,06:10:56,756,6,---,---,---,---,
Starboard Door Heel,06:11:20,---,---,---,---,---,---,
Starboard Door Heel,06:11:47,---,---,---,---,---,---,
Starboard Door Heel,06:12:13,---,---,---,---,---,---,
Starboard Door Heel,06:12:35,757,7,---,---,---,---,
Starboard Door Heel,06:13:01,---,---,---,---,---,---,
Starboard Door Heel,06:13:27,---,---,---,---,---,---,
Starboard Door Heel,06:13:50,---,---,---,---,---,---,
Starboard Door Heel,06:14:11,757,1,48,9,---,---,
Starboard Door Heel,06:14:39,---,---,---,---,---,---,
Starboard Door Heel,06:15:00,756,7,---,---,---,---,
Starboard Door Heel,06:15:27,---,---,---,---,---,---,
Starboard Door Heel,06:15:51,758,0,---,---,---,---,
Starboard Door Heel,06:16:13,757,0,---,---,---,---,
Starboard Door Heel,06:16:36,757,3,51,2,---,---,
Starboard Door Heel,06:17:02,---,---,---,---,---,---,
Starboard Door Heel,06:17:27,757,7,---,---,---,---,
Starboard Door Heel,06:17:52,---,---,---,---,---,---,
Starboard Door Heel,06:18:15,757,9,---,---,---,---,
Starboard Door Heel,06:18:38,760,4,46,9,---,---,
Starboard Door Heel,06:19:01,757,2,58,0,---,---,
Starboard Door Heel,06:19:29,756,8,---,---,---,---,
Starboard Door Heel,06:19:52,757,4,---,---,---,---,
Starboard Door Heel,06:20:19,---,---,---,---,---,---,
Starboard Door Heel,06:20:43,757,7,---,---,---,---,
Starboard Door Heel,06:21:08,---,---,---,---,---,---,
Starboard Door Heel,06:21:34,---,---,---,---,---,---,
Starboard Door Heel,06:21:56,756,6,---,---,---,---,
Starboard Door Heel,06:22:20,756,8,---,---,---,---,
Starboard Door Heel,06:22:44,757,6,63,8,---,---,
Starboard Door Heel,06:23:09,757,1,61,3,---,---,
Starboard Door Heel,06:23:32,759,1,---,---,---,---,
Starboard Door Heel,06:23:58,757,9,---,---,---,---,
Starboard Door Heel,06:24:19,756,5,---,---,---,---,
Starboard Door Heel,06:24:42,756,8,60,6,---,---,
Starboard Door Heel,06:25:05,756,9,64,3,---,---,
Starboard Door Heel,06:25:32,757,2,59,3,---,---,
Starboard Door Heel,06:26:01,756,9,---,---,---,---,
Starboard Door Heel,06:26:26,757,7,---,---,---,---,
Starboard Door Heel,06:26:51,757,2,---,---,---,---,
Starboard Door Heel,06:27:14,756,8,---,---,---,---,
Starboard Door Heel,06:27:38,757,5,46,4,---,---,
Starboard Door Heel,06:28:03,757,4,---,---,---,---,
Starboard Door Heel,06:28:25,756,6,---,---,---,---,
Starboard Door Heel,06:28:49,757,5,52,8,---,---,
Starboard Door Heel,06:29:14,759,1,---,---,---,---,
Starboard Door Heel,06:29:40,---,---,---,---,---,---,
Starboard Door Heel,06:30:01,768,7,62,1,---,---,
Starboard Door Heel,06:30:28,---,---,---,---,---,---,
Starboard Door Heel,06:30:54,---,---,---,---,---,---,
Starboard Door Heel,06:31:16,768,0,58,6,---,---,
Starboard Door Heel,06:31:43,766,7,---,---,---,---,
Starboard Door Heel,06:32:05,767,7,50,0,---,---,
Starboard Door Heel,06:32:34,---,---,---,---,---,---,
Starboard Door Heel,06:32:57,767,3,52,1,---,---,
Starboard Door Heel,06:33:23,---,---,---,---,---,---,
Starboard Door Heel,06:33:50,---,---,---,---,---,---,
Starboard Door Heel,06:34:12,767,7,---,---,---,---,
Starboard Door Heel,06:34:34,767,7,---,---,---,---,
Starboard Door Heel,06:34:58,767,3,---,---,---,---,
Starboard Door Heel,06:35:19,767,4,49,2,---,---,
Starboard Door Heel,06:35:44,766,7,---,---,---,---,
Starboard Door Heel,06:36:07,767,3,---,---,---,---,
Starboard Door Heel,06:36:33,---,---,---,---,---,---,
Starboard Door Heel,06:36:58,---,---,---,---,---,---,
Starboard Door Heel,06:39:03,---,---,---,---,---,---,
Starboard Door Heel,06:41:40,766,8,---,---,---,---,
Starboard Door Heel,06:44:22,---,---,---,---,---,---,
Starboard Door Heel,06:47:00,767,3,---,---,---,---,
Starboard Door Heel,06:49:37,767,4,44,8,---,---,
Starboard Door Heel,06:52:21,---,---,---,---,---,---,
Starboard Door Heel,06:54:58,---,---,---,---,---,---,
Starboard Door Heel,06:57:37,801,5,---,---,---,---,
Starboard Door Heel,07:00:17,798,2,---,---,---,---,
Starboard Door Heel,07:02:58,---,---,---,---,---,---,
Starboard Door Heel,07:05:38,---,---,---,---,---,---,
Starboard Door Heel,07:08:15,838,2,38,6,---,---,
Starboard Door Heel,07:11:50,838,6,42,6,---,---,
Starboard Door Heel,07:14:58,839,4,39,2,---,---,
Starboard Door Heel,07:18:34,839,7,36,7,---,---,
Starboard Door Heel,07:21:13,838,5,38,6,---,---,
Starboard Door Heel,07:25:17,839,4,40,0,---,---,
Starboard Door Heel,07:28:24,838,5,41,3,---,---,
Starboard Door Heel,07:30:29,839,8,---,---,---,---,
Starboard Door Heel,07:30:54,---,---,---,---,---,---,
Starboard Door Heel,07:31:18,839,3,40,1,---,---,
Starboard Door Heel,07:31:45,---,---,---,---,---,---,
Starboard Door Heel,07:32:07,841,0,---,---,---,---,
Starboard Door Heel,07:32:32,839,7,---,---,---,---,
Starboard Door Heel,07:32:58,---,---,---,---,---,---,
Starboard Door Heel,07:33:21,840,2,---,---,---,---,
Starboard Door Heel,07:33:43,839,8,44,2,---,---,
Starboard Door Heel,07:34:09,---,---,---,---,---,---,
Starboard Door Heel,07:34:34,---,---,---,---,---,---,
Starboard Door Heel,08:38:17,831,0,---,---,---,---,
Starboard Door Heel,08:39:20,830,1,59,2,---,---,
Starboard Door Heel,08:39:47,829,5,---,---,---,---,
Starboard Door Heel,08:40:13,---,---,---,---,---,---,
Starboard Door Heel,08:40:37,828,4,---,---,---,---,
Starboard Door Heel,08:41:02,828,4,---,---,---,---,
Starboard Door Heel,08:41:27,828,9,---,---,---,---,
Starboard Door Heel,08:41:53,828,4,---,---,---,---,
Starboard Door Heel,08:42:20,828,8,62,0,---,---,
Starboard Door Heel,08:42:47,828,2,---,---,---,---,
Starboard Door Heel,08:43:16,---,---,---,---,---,---,
Starboard Door Heel,08:43:39,828,2,---,---,---,---,
Starboard Door Heel,08:44:03,829,4,---,---,---,---,
Starboard Door Heel,08:44:30,828,3,---,---,---,---,
Starboard Door Heel,08:44:56,830,7,---,---,---,---,
Starboard Door Heel,08:45:20,829,2,---,---,---,---,
Starboard Door Heel,08:45:43,828,8,---,---,---,---,
Starboard Door Heel,08:46:14,---,---,---,---,---,---,
Starboard Door Heel,08:46:37,829,4,---,---,---,---,
Starboard Door Heel,08:47:00,831,0,---,---,---,---,
Starboard Door Heel,08:47:27,---,---,---,---,---,---,
Starboard Door Heel,08:47:52,829,5,---,---,---,---,
Starboard Door Heel,08:48:16,829,3,---,---,---,---,
Starboard Door Heel,08:48:41,---,---,---,---,---,---,
Starboard Door Heel,08:49:09,---,---,---,---,---,---,
Starboard Door Heel,08:49:35,---,---,---,---,---,---,
Starboard Door Heel,08:50:03,---,---,---,---,---,---,
Starboard Door Heel,08:50:25,830,6,---,---,---,---,
Starboard Door Heel,08:50:49,830,8,---,---,---,---,
Starboard Door Heel,08:51:11,830,9,57,0,---,---,
Starboard Door Heel,08:51:38,829,1,---,---,---,---,
Starboard Door Heel,08:52:01,829,2,---,---,---,---,
Starboard Door Heel,08:52:27,829,4,---,---,---,---,
Starboard Door Heel,08:52:54,---,---,---,---,---,---,
Starboard Door Heel,08:53:15,829,6,---,---,---,---,
Starboard Door Heel,08:53:43,---,---,---,---,---,---,
Starboard Door Heel,08:54:05,829,7,---,---,---,---,
Starboard Door Heel,08:54:29,829,9,---,---,---,---,
Starboard Door Heel,08:54:53,829,6,---,---,---,---,
Starboard Door Heel,08:55:17,829,7,---,---,---,---,
Starboard Door Heel,08:55:40,829,9,47,4,---,---,
