Code,Tiempo,Escalas(m),Datos1(Fa),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Profundidad 1,02:26:36,72,4,---,---,---,---,
Profundidad 1,02:27:00,---,6,1,---,---,---,
Profundidad 1,02:27:24,177,8,14,4,---,---,
Profundidad 1,02:27:47,---,17,9,---,---,---,
Profundidad 1,02:28:11,289,3,21,4,---,---,
Profundidad 1,02:28:35,---,27,3,---,---,---,
Profundidad 1,02:28:59,411,2,32,1,---,---,
Profundidad 1,02:29:22,---,36,8,---,---,---,
Profundidad 1,02:29:46,536,2,42,7,---,---,
Profundidad 1,02:30:10,---,56,0,---,---,---,
Profundidad 1,02:30:34,679,3,65,2,---,---,
Profundidad 1,02:30:59,---,73,5,---,---,---,
Profundidad 1,02:31:24,825,0,80,1,---,---,
Profundidad 1,02:31:48,---,87,5,---,---,---,
Profundidad 1,02:32:13,975,5,95,8,---,---,
Profundidad 1,02:32:38,---,100,6,---,---,---,
Profundidad 1,02:33:01,1126,2,108,8,---,---,
Profundidad 1,02:33:27,1173,2,121,6,---,---,
Profundidad 1,02:33:52,---,126,2,---,---,---,
Profundidad 1,02:34:15,1180,4,133,9,---,---,
Profundidad 1,02:34:38,1180,4,140,8,---,---,
Profundidad 1,02:35:02,1180,2,148,0,---,---,
Profundidad 1,02:35:26,1179,8,155,0,---,---,
Profundidad 1,02:35:49,1180,1,161,4,---,---,
Profundidad 1,02:36:16,---,---,---,---,---,---,
Profundidad 1,02:36:38,1179,5,175,9,---,---,
Profundidad 1,02:37:02,1179,7,181,7,---,---,
Profundidad 1,02:37:25,1179,3,188,9,---,---,
Profundidad 1,02:37:52,---,---,---,---,---,---,
Profundidad 1,02:38:14,1178,9,200,9,---,---,
Profundidad 1,02:38:39,1179,7,207,1,---,---,
Profundidad 1,02:39:03,1179,5,213,3,---,---,
Profundidad 1,02:39:28,1179,4,218,3,---,---,
Profundidad 1,02:39:52,1179,8,220,6,---,---,
Profundidad 1,02:40:15,1178,6,223,3,---,---,
Profundidad 1,02:40:39,1178,9,224,1,---,---,
Profundidad 1,02:41:02,1179,8,226,0,---,---,
Profundidad 1,02:41:30,---,---,---,---,---,---,
Profundidad 1,02:41:58,---,---,---,---,---,---,
Profundidad 1,02:42:25,---,---,---,---,---,---,
Profundidad 1,02:42:49,1179,4,234,9,---,---,
Profundidad 1,02:43:12,1181,6,235,1,---,---,
Profundidad 1,02:43:39,---,---,---,---,---,---,
Profundidad 1,02:44:04,---,---,---,---,---,---,
Profundidad 1,02:44:26,1180,9,241,5,---,---,
Profundidad 1,02:44:51,1180,9,244,3,---,---,
Profundidad 1,02:45:15,1182,8,245,7,---,---,
Profundidad 1,02:45:40,1179,9,246,2,---,---,
Profundidad 1,02:46:08,---,---,---,---,---,---,
Profundidad 1,02:46:32,1179,6,250,2,---,---,
Profundidad 1,02:46:57,1179,8,249,8,---,---,
Profundidad 1,02:47:21,1179,4,253,7,---,---,
Profundidad 1,02:47:46,1179,5,252,2,---,---,
Profundidad 1,02:48:11,1182,7,250,9,---,---,
Profundidad 1,02:48:35,1179,2,255,9,---,---,
Profundidad 1,02:48:58,1178,9,256,0,---,---,
Profundidad 1,02:49:22,1178,7,256,3,---,---,
Profundidad 1,02:49:46,1178,3,257,6,---,---,
Profundidad 1,02:50:10,1178,8,258,3,---,---,
Profundidad 1,02:50:33,1179,1,257,9,---,---,
Profundidad 1,02:50:57,1179,0,259,2,---,---,
Profundidad 1,02:51:21,1179,0,259,5,---,---,
Profundidad 1,02:51:45,1179,2,260,3,---,---,
Profundidad 1,02:52:08,1180,1,260,7,---,---,
Profundidad 1,02:52:32,1180,2,260,4,---,---,
Profundidad 1,02:52:56,1179,7,264,0,---,---,
Profundidad 1,02:53:19,1179,5,263,9,---,---,
Profundidad 1,02:53:43,1178,8,265,8,---,---,
Profundidad 1,02:54:07,1179,8,266,4,---,---,
Profundidad 1,02:54:30,1179,2,267,8,---,---,
Profundidad 1,02:54:54,1180,2,267,3,---,---,
Profundidad 1,02:55:18,1180,4,269,0,---,---,
Profundidad 1,02:55:41,1178,9,270,3,---,---,
Profundidad 1,02:56:05,1179,2,271,1,---,---,
Profundidad 1,02:56:29,1179,1,271,5,---,---,
Profundidad 1,02:56:52,1179,1,271,1,---,---,
Profundidad 1,02:57:16,1181,6,269,4,---,---,
Profundidad 1,02:57:40,1179,1,273,3,---,---,
Profundidad 1,02:58:06,---,---,---,---,---,---,
Profundidad 1,02:58:28,1179,1,274,8,---,---,
Profundidad 1,02:58:52,1179,4,276,1,---,---,
Profundidad 1,02:59:17,1179,6,276,0,---,---,
Profundidad 1,02:59:40,1179,9,275,3,---,---,
Profundidad 1,03:00:04,1180,3,277,1,---,---,
Profundidad 1,03:00:27,1179,1,278,3,---,---,
Profundidad 1,03:00:51,1179,8,279,2,---,---,
Profundidad 1,03:01:17,---,---,---,---,---,---,
Profundidad 1,03:01:40,1179,7,280,6,---,---,
Profundidad 1,03:02:03,1185,1,275,4,---,---,
Profundidad 1,03:02:30,---,---,---,---,---,---,
Profundidad 1,03:02:52,1180,5,282,6,---,---,
Profundidad 1,03:03:18,---,---,---,---,---,---,
Profundidad 1,03:03:41,1179,0,286,3,---,---,
Profundidad 1,03:04:04,1179,0,289,6,---,---,
Profundidad 1,03:04:31,1179,0,288,9,---,---,
Profundidad 1,03:04:56,1178,7,290,2,---,---,
Profundidad 1,03:05:20,1179,2,---,---,---,---,
Profundidad 1,03:05:45,1178,9,---,---,---,---,
Profundidad 1,03:06:08,1178,8,---,---,---,---,
Profundidad 1,03:06:30,1178,9,294,9,---,---,
Profundidad 1,03:06:54,1178,7,---,---,---,---,
Profundidad 1,03:07:16,1179,0,296,9,---,---,
Profundidad 1,03:07:40,1179,0,298,5,---,---,
Profundidad 1,03:08:05,1179,0,---,---,---,---,
Profundidad 1,03:08:28,1178,7,299,5,---,---,
Profundidad 1,03:08:51,1179,0,302,2,---,---,
Profundidad 1,03:09:15,1178,8,301,7,---,---,
Profundidad 1,03:09:38,1179,2,302,3,---,---,
Profundidad 1,03:10:04,1179,2,302,9,---,---,
Profundidad 1,03:10:29,1178,4,304,7,---,---,
Profundidad 1,03:10:52,1182,5,300,6,---,---,
Profundidad 1,03:11:17,1178,2,---,---,---,---,
Profundidad 1,03:11:39,1178,5,306,6,---,---,
Profundidad 1,03:12:03,1178,4,308,3,---,---,
Profundidad 1,03:12:27,1178,8,---,---,---,---,
Profundidad 1,03:12:51,1178,3,309,3,---,---,
Profundidad 1,03:13:14,1181,5,305,5,---,---,
Profundidad 1,03:13:38,1178,7,308,2,---,---,
Profundidad 1,03:14:02,1178,5,308,7,---,---,
Profundidad 1,03:14:25,1178,4,309,1,---,---,
Profundidad 1,03:14:48,1178,5,309,1,---,---,
Profundidad 1,03:15:12,1178,5,309,9,---,---,
Profundidad 1,03:15:35,1178,4,309,9,---,---,
Profundidad 1,03:15:59,1178,2,316,0,---,---,
Profundidad 1,03:16:22,1179,3,---,---,---,---,
Profundidad 1,03:16:45,1178,0,312,6,---,---,
Profundidad 1,03:17:08,1180,5,310,0,---,---,
Profundidad 1,03:17:32,1178,2,312,3,---,---,
Profundidad 1,03:17:55,1178,3,312,4,---,---,
Profundidad 1,03:18:18,1179,1,311,5,---,---,
Profundidad 1,03:18:46,---,---,---,---,---,---,
Profundidad 1,03:19:08,1178,6,312,0,---,---,
Profundidad 1,03:19:34,1178,3,312,1,---,---,
Profundidad 1,03:19:57,1178,6,311,9,---,---,
Profundidad 1,03:20:25,---,---,---,---,---,---,
Profundidad 1,03:20:50,---,---,---,---,---,---,
Profundidad 1,03:21:16,---,---,---,---,---,---,
Profundidad 1,03:21:40,1178,0,312,5,---,---,
Profundidad 1,03:22:08,---,---,---,---,---,---,
Profundidad 1,03:22:34,---,---,---,---,---,---,
Profundidad 1,03:22:59,---,---,---,---,---,---,
Profundidad 1,03:23:25,---,---,---,---,---,---,
Profundidad 1,03:23:46,1179,1,311,2,---,---,
Profundidad 1,03:24:10,1181,9,308,3,---,---,
Profundidad 1,03:24:38,---,---,---,---,---,---,
Profundidad 1,03:25:00,1178,2,312,7,---,---,
Profundidad 1,03:25:24,1177,9,312,6,---,---,
Profundidad 1,03:25:50,---,---,---,---,---,---,
Profundidad 1,03:26:12,1178,0,314,3,---,---,
Profundidad 1,03:26:37,1178,2,---,---,---,---,
Profundidad 1,03:27:00,1180,5,310,9,---,---,
Profundidad 1,03:27:23,1178,6,314,2,---,---,
Profundidad 1,03:27:51,---,---,---,---,---,---,
Profundidad 1,03:28:14,1179,8,312,4,---,---,
Profundidad 1,03:28:40,---,---,---,---,---,---,
Profundidad 1,03:29:05,---,---,---,---,---,---,
Profundidad 1,03:29:30,---,---,---,---,---,---,
Profundidad 1,03:29:54,1177,7,313,7,---,---,
Profundidad 1,03:30:18,1183,6,307,7,---,---,
Profundidad 1,03:30:41,1178,1,---,---,---,---,
Profundidad 1,03:31:05,1183,7,307,6,---,---,
Profundidad 1,03:31:29,1178,0,313,9,---,---,
Profundidad 1,03:31:52,1178,0,316,0,---,---,
Profundidad 1,03:32:17,1177,8,314,8,---,---,
Profundidad 1,03:32:40,1177,9,314,8,---,---,
Profundidad 1,03:33:04,1179,8,315,4,---,---,
Profundidad 1,03:33:28,---,---,---,---,---,---,
Profundidad 1,03:33:55,1154,7,---,---,---,---,
Profundidad 1,03:34:18,---,314,0,---,---,---,
Profundidad 1,03:34:49,---,---,---,---,---,---,
Profundidad 1,03:35:12,---,---,---,---,---,---,
Profundidad 1,03:35:37,---,---,---,---,---,---,
Profundidad 1,03:35:57,728,2,313,5,---,---,
Profundidad 1,03:36:21,699,1,316,7,---,---,
Profundidad 1,03:36:46,691,9,314,8,---,---,
Profundidad 1,03:37:09,703,0,317,4,---,---,
Profundidad 1,03:37:32,715,0,316,3,---,---,
Profundidad 1,03:37:55,734,2,316,6,---,---,
Profundidad 1,03:38:17,752,8,315,3,---,---,
Profundidad 1,03:38:40,777,0,316,0,---,---,
Profundidad 1,03:39:05,811,9,316,0,---,---,
Profundidad 1,03:39:28,851,2,316,9,---,---,
Profundidad 1,03:39:51,892,7,315,6,---,---,
Profundidad 1,03:40:14,934,3,315,2,---,---,
Profundidad 1,03:40:37,978,2,317,1,---,---,
Profundidad 1,03:41:01,1020,6,315,7,---,---,
Profundidad 1,03:41:27,1068,5,318,2,---,---,
Profundidad 1,03:41:51,1100,0,318,4,---,---,
Profundidad 1,03:42:16,1119,8,319,3,---,---,
Profundidad 1,03:42:40,1132,2,320,3,---,---,
Profundidad 1,03:43:03,1140,9,320,9,---,---,
Profundidad 1,03:43:27,1148,1,320,8,---,---,
Profundidad 1,03:43:50,1153,8,322,4,---,---,
Profundidad 1,03:44:14,1159,9,321,2,---,---,
Profundidad 1,03:44:38,1163,9,321,1,---,---,
Profundidad 1,03:45:01,1167,8,320,8,---,---,
Profundidad 1,03:45:25,1169,8,323,1,---,---,
Profundidad 1,03:45:48,1171,9,322,1,---,---,
Profundidad 1,03:46:12,1173,2,323,1,---,---,
Profundidad 1,03:46:36,1174,4,322,0,---,---,
Profundidad 1,03:46:59,1174,9,325,5,---,---,
Profundidad 1,03:47:23,1175,5,326,2,---,---,
Profundidad 1,03:47:47,1176,3,321,8,---,---,
Profundidad 1,03:48:10,1176,4,321,8,---,---,
Profundidad 1,03:48:34,1177,0,320,9,---,---,
Profundidad 1,03:48:58,1177,4,318,7,---,---,
Profundidad 1,03:49:22,1177,2,---,---,---,---,
Profundidad 1,03:49:44,1177,4,320,3,---,---,
Profundidad 1,03:50:08,1177,7,321,8,---,---,
Profundidad 1,03:50:31,1179,2,316,8,---,---,
Profundidad 1,03:50:55,1177,9,318,3,---,---,
Profundidad 1,03:51:19,1178,1,318,2,---,---,
Profundidad 1,03:51:42,1178,3,318,1,---,---,
Profundidad 1,03:52:06,1178,0,318,3,---,---,
Profundidad 1,03:52:30,1178,4,318,1,---,---,
Profundidad 1,03:52:53,1178,4,318,5,---,---,
Profundidad 1,03:53:17,1178,4,318,1,---,---,
Profundidad 1,03:53:41,1178,6,315,6,---,---,
Profundidad 1,03:54:04,1179,5,315,2,---,---,
Profundidad 1,03:54:28,1179,1,314,2,---,---,
Profundidad 1,03:54:52,1179,4,313,8,---,---,
Profundidad 1,03:55:15,1182,5,310,8,---,---,
Profundidad 1,03:55:39,1179,6,312,7,---,---,
Profundidad 1,03:56:02,1179,2,313,4,---,---,
