Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Babor,02:28:31,98,1,36,0,---,---,
Babor,02:28:56,---,48,5,---,---,---,
Babor,02:29:22,226,7,51,2,---,---,
Babor,02:29:47,---,49,0,---,---,---,
Babor,02:30:12,369,1,51,9,---,---,
Babor,02:30:36,---,51,5,---,---,---,
Babor,02:31:00,518,9,53,7,---,---,
Babor,02:31:25,---,52,9,---,---,---,
Babor,02:31:50,685,1,53,7,---,---,
Babor,02:32:14,---,56,1,---,---,---,
Babor,02:32:39,849,1,59,0,---,---,
Babor,02:33:03,---,59,6,---,---,---,
Babor,02:33:29,1011,2,---,---,---,---,
Babor,02:33:52,---,62,6,---,---,---,
Babor,02:34:20,---,---,---,---,---,---,
Babor,02:34:43,1106,3,65,8,---,---,
Babor,02:35:08,1105,7,69,1,---,---,
Babor,02:35:33,1105,9,72,2,---,---,
Babor,02:35:58,1105,2,76,2,---,---,
Babor,02:36:22,1106,2,76,9,---,---,
Babor,02:36:45,1106,1,78,0,---,---,
Babor,02:37:09,1106,0,84,6,---,---,
Babor,02:37:33,1106,0,80,6,---,---,
Babor,02:37:57,1106,1,---,---,---,---,
Babor,02:38:20,1105,9,---,---,---,---,
Babor,02:38:42,1106,0,131,7,---,---,
Babor,02:39:06,1106,3,---,---,---,---,
Babor,02:39:28,1106,1,84,4,---,---,
Babor,02:39:52,1105,8,---,---,---,---,
Babor,02:40:14,1108,7,82,4,---,---,
Babor,02:40:39,1105,9,---,---,---,---,
Babor,02:41:02,1106,0,---,---,---,---,
Babor,02:41:24,1105,7,---,---,---,---,
Babor,02:41:46,1106,1,84,5,---,---,
Babor,02:42:10,1106,1,84,5,---,---,
Babor,02:42:33,1106,1,83,7,---,---,
Babor,02:42:56,1106,3,87,2,---,---,
Babor,02:43:21,1106,9,---,---,---,---,
Babor,02:43:43,1105,4,83,6,---,---,
Babor,02:44:07,1105,4,---,---,---,---,
Babor,02:44:30,1105,7,83,1,---,---,
Babor,02:44:53,1105,4,82,9,---,---,
Babor,02:45:17,1105,3,84,7,---,---,
Babor,02:45:41,1105,3,82,7,---,---,
Babor,02:46:04,1105,2,83,8,---,---,
Babor,02:46:28,1105,3,83,2,---,---,
Babor,02:46:52,1105,1,84,4,---,---,
Babor,02:47:16,1105,2,84,0,---,---,
Babor,02:47:39,1105,5,84,0,---,---,
Babor,02:48:03,1106,8,82,9,---,---,
Babor,02:48:27,1106,2,83,4,---,---,
Babor,02:48:50,1105,7,85,6,---,---,
Babor,02:49:14,1105,3,87,7,---,---,
Babor,02:49:37,1105,2,90,1,---,---,
Babor,02:50:01,1105,2,91,9,---,---,
Babor,02:50:25,1105,1,94,7,---,---,
